stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
MN,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,41.9486532,73544.52055,252568.0408,70315,5611179,6.6,82.5,3.1,1.1,4.9,0,5.5,758,12.29476253,25573.10607,708,123.3792373,256628.8136,498,22.89257028,47616.54618,624,16.06188925,33408.72964,793,18.87576923,39261.6,787,24.87004447,51729.6925,563,22.59946714,47006.89165,717,19.55391213,40672.13724,1497,49.30904476,102562.8131,611,23.13549465,48121.82888,574,NA,NA,611,20.59511457,48121.82888,548,57.94436553,120524.2803,666,40.95330189,85182.86792,597,25.0745234,52155.00867,558,22.8038674,47432.0442,788,42.26629442,85430.28173,484,56.88429752,118319.3388,1542,1262,1415,1257,1302,1343,1328,2286,1165,235,1912.372807,2945.2,2348.475877
MS,Mississippi,"Yes; by endorsement; An out-of-state massage therapist can be licensed by reciprocity with as few as 500 in-class hours of academic instruction, provided he or she has the requisite qualifications, including experience. Reciprocity candidates must have three years of experience; this requirement is the same whether the massage therapist comes from a regulated or unregulated state.
",yes,NA,yes,NA,NA,NA,"700; 600 academic, 100 clinic, The instructional hours are to be distributed as follows: Study of the human body is to comprise at least 200 hours. There must be at least 20 hours devoted to each of the following: anatomy, physiology, neurology, myology/ kinesiology, and pathology; pathology coursework is to include medical terminology. The other 100 hours of body systems study may be distributed among the required content areas in any manner. Massage therapy theory and practicum are together to comprise at least 200 hours. At least 100 of these hours are to consist of demonstration and supervised practice; demonstration and practice is to include client evaluation, draping, and range-of-motion as well as specific massage techniques identified by the Board, for example, kneading, stroking, percussion, vibration, and use of hand-held tools. At least 20 combined hours are to cover massage therapy history, indications, contraindications and benefits. Also included in this content area are 10 hours of study in legality and ethics; this is to include Mississippi massage therapy law. Allied modalities are to comprise at least 200 hours. The following content must be included: Eastern, Western, and European methods: 7 hours
Hydrotherapy and infrared heat: 25 hours
Healthcare referral: 20 hours
Charting and documentation: 10 hours
Cardiopulmonary resuscitation and first aid: 8 hours
The remaining hours may consist of additional coursework in the five content areas above or other massage therapy and wellness topics, for example, special populations, trigger points, safety, and communication.",yes,NA,yes,yes,yes,50,200,NA,1,NA,NA,NA,NA,NA,yes,yes,150,25,48024.69231,81255.42308,51049,2986530,38,58.1,1.5,0.4,0.9,0,2.9,612,10.32230392,21470.39216,718,114.4045961,237961.5599,273,19.98168498,41561.90476,222,9.908866995,20610.44335,724,14.09665055,29321.03315,667,11.93084708,24816.16192,80,13,27040,566,11.71432532,24365.79667,1272,25.75412736,53568.58491,277,38.01497657,79071.15126,179,46.95288462,97662,277,13.92238267,79071.15126,80,34.5,71760,569,NA,NA,276,18.5,38480,346,16.39973262,34111.44385,671,47.84182563,183100.6486,30,34.16666667,71066.66667,835,361,898,759,872,780,856,1403,301,160,923.9155844,1120.048077,983.3506494
MO,Missouri,No,yes,NA,yes,yes,NA,NA,"500; 300 hours are to be devoted to the theory and practice of massage therapy. At least 100 hours are to be in anatomy and physiology. The curriculum must also include 50 hours in the combined areas of business practice, hygiene, ethics, and Missouri massage law. Another 50 hours are to cover ancillary therapies; CPR training is included in this content strand.",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,576,33.25569177,43840.57971,143279.2182,54478,6126452,11.5,82.2,2.8,0.5,2,0.1,4.1,733,12.02768945,25017.59406,726,117.035124,243433.0579,454,46.03524229,95753.30396,533,14.29971857,29743.41463,788,17.66322335,36739.50457,746,14.6961059,30567.90027,267,15.20992366,31636.64122,643,17.20640747,35789.32753,1378,28.70928882,59715.32075,587,25.25427416,52528.89024,530,38.03848403,79120.04678,587,15.1913799,52528.89024,380,37.54435484,78092.25806,737,36.48421053,75887.15789,542,45.07135524,93748.41889,428,26.49958746,55119.14191,755,31.99370861,95577.3457,193,51.8018018,107747.7477,1417,698,1387,1218,1276,1271,1280,1502,1064,354,1270.648256,1932.582143,1516.357558
MT,Montana,"Yes; by endoresement; Out-of-state massage therapists can be licensed by credential if it is determined that they hold an equivalent license.
The licensing agency reports that the following states have been reviewed and found eligible for license by credential: Florida, Georgia, Idaho, Kentucky, Nebraska, New Hampshire, New York, New Mexico, North Dakota, Ohio, South Dakota, Utah, and Washington (bsd.dli.mt.gov/license / lmt board). Additional states may be added to the list following review.

Out-of-state licensees will find a “license by credential” application on the Board website (bsd.dli.mt.gov/license / bsd_boards). They should be prepared to provide a copy of the statutes and rules that govern licensure in the other state.

The out-of-state license must be in good standing. A license verification form is included in the application packet. The massage therapist will fill out the top portion and send it to the state of licensure.

Applicants for license by credential will need to provide two character references as well as documentation of age and documentation of high school completion (or equivalency).

If the other state’s statutes and rules to do not establish equivalency, the licensing agency may request additional information from the applicant.",yes,NA,NA,NA,NA,NA,"500; 125 hours of instruction in body systems (anatomy, physiology, kinesiology); 200 hours of instruction in massage and bodywork theory, application, and assessment; 40 hours in pathology; ten hours in ethics and business (with no fewer than six hours in ethics).",yes,NA,yes,yes,yes,140,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,40,28.9375,NA,240545.8696,55328,1062305,0.5,88.6,3.1,6.4,0.8,0.1,3.9,519,11.67315574,24280.16393,734,100.1294278,208269.2098,95,17,35360,63,13.49206349,28063.49206,652,15.82745399,32921.10429,521,13.19235125,27440.0906,50,15.9,33072,491,14.82194501,30829.64562,1089,26.20156107,54499.24702,190,19.23076923,40000,95,NA,NA,190,15.13763158,40000,35,50.4,104832,291,44.94897872,93493.87574,37,9,18720,390,23.82097368,49547.62526,622,71.09063505,171840.5474,34,62.5,130000,662,253,828,253,369,569,341,2416,124,34,1403.1,1749.923077,1466.033333
NE,Nebraska,"Yes; by endorsement; Massage therapists who hold licensing in other states are required to demonstrate a total of 1,000 hours of education and training but are allowed more leeway in how they meet the requirement. Educational hours do not have to be distributed in the manner usually required by the licensing agency (sos.ne.gov Rules Health and Human Services System pdf). The massage therapist can credit work experience toward education/ training requirements at a rate of 100 hours per year of full-time experience. The licensing agency will credit as many as 100 hours of education for continuing education pursued through organizations approved by the FSMTB or the NCBTMB. A semester credit of related college coursework can be credited as 15 hours.
An out-of-state massage therapist who does not yet meet Nebraska licensing requirements may be issued a temporary license that authorizes work under supervision.",yes,NA,NA,yes,yes,yes,"1000; The massage therapy student will need 100 hours in each of the following areas:
Anatomy
Physiology
Hygiene and Practical demonstration
Hydrotherapy
Pathology
Massage
Health service management",yes,NA,yes,yes,yes,110,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,104,45.59615385,47500,192748.9524,59566,1929268,4.7,86.4,3.1,1,2.4,0.1,11.1,513,11.7618616,24464.67212,724,108.6084254,225905.5249,224,25.35047847,52728.99522,151,13.39726027,27866.30137,743,15.34230821,31912.00108,512,15.70221328,32660.60362,25,NA,NA,505,14.64217822,30455.73069,1174,26.7270017,55592.16354,258,24.07299956,50071.83908,131,32.71995192,68057.5,258,17.23643411,50071.83908,45,36,74880,315,32,66560,45,NA,NA,698,26.41624204,54945.78344,577,53.20968804,149342.0997,84,56.32911392,117164.557,714,329,606,611,532,510,529,1820,319,195,1101.079365,1463.525,1256.100529
NV,Nevada,No,yes,NA,yes,yes,yes,yes,"550; One hundred twenty-five (125) hours of instruction in the body’s systems, including, without limitation, anatomy, physiology and kinesiology
Two hundred twenty (220) hours of instruction which is taken in a classroom setting with hands-on instruction in assessment, theory and application instruction, which must include not less than 80 hours in clinical instruction
Forty (40) hours of instruction in pathology
Twenty (20) hours of instruction in business
Twenty (20) hours of instruction in ethics and
One hundred twenty-five hours (125) of instruction in other courses of massage therapy in a classroom setting with hands-on instruction.",yes,NA,yes,yes,yes,185,295,NA,NA,NA,NA,NA,NA,NA,yes,yes,699,69.15307582,72008.58369,264014.6923,58646,3034392,9.2,63.4,5.1,1.5,8.2,0.6,29,743,12.73627187,26491.44549,699,106.9992847,222558.5122,678,47.54941003,98902.77286,605,16.63801653,34607.07438,778,16.1714653,33636.64781,758,14.54419525,30251.92612,105,21.5,44720,605,15.67479339,32603.57025,1412,29.11296034,60554.95751,531,36.95299883,76862.23757,138,NA,NA,531,15.9230226,76862.23757,558,56,116480,618,46.5,96720,571,43.44308231,90361.61121,537,19.48975791,40538.69646,759,62.67720685,164571.3228,63,62.5,130000,1468,698,1514,1392,1429,1426,1476,1980,1141,664,1292.495427,1927.555746,1570.052591
NH,New Hampshire,No,NA,NA,NA,NA,NA,NA,750;,yes,NA,yes,yes,yes,110,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,408,23.80645161,50777.59548,227562.85,74991,1356458,1.7,92.4,2.2,0.3,2.7,0,3.9,726,11.83316116,24612.97521,717,119.7838215,249150.3487,421,41.43092105,86176.31579,554,15.48823529,32215.52941,798,17.88646617,37203.84962,719,17.09770515,35563.2267,70,19.44827586,40452.41379,599,17.45722037,36311.01836,1243,26.71319389,55563.44328,441,24.87226746,51734.31633,394,62.79431217,130612.1693,441,17.35746032,51734.31633,165,62.5,130000,702,42.58689459,88580.74074,332,20.56893382,42783.38235,163,31,64480,769,38.11719116,156312.9766,153,62.5,130000,1043,405,1219,923,992,1116,932,1402,534,46,1900.487805,2624.535714,2140.609756
NJ,New Jersey,Yes; by Endorsement a massage therapist can also be licensed on the basis of current credentialing in another U.S. state; the other state must have educational requirements that are at least substantially similar to those of New Jersey. A candidate for license by endorsement will need to request credential verification from each U.S. jurisdiction where he or she has ever held licensure or certification.,yes,NA,yes,yes,yes,yes,"500; 90 hours of anatomy, physiology, pathophysiology
ethics and law
theory and practice
electives related to the practice of massage and bodywork therapy
and at least 100 hours of clinical practice under the supervision of a faculty member legally authorized to practice in the State in which the school exists. ",yes,NA,yes,yes,yes,120,NA,NA,1,NA,NA,NA,NA,yes,"yes; The course of study must be taken in a school accredited or approved by:

??the New Jersey Department of Education;
the New Jersey Department Labor and Workforce Development;
the New Jersey Commission on Higher Education;
or an agency of another state which substantially meets the requirements of the New Jersey Department of Education,
the New Jersey Department of Labor and Workforce Development; or
the New Jersey Commission on Higher Education.",yes,800,42.91375,65237.5,259979.7857,81740,8908520,13.6,66.9,2.8,0.2,9.7,0,20.6,750,12.80746667,26639.53067,721,105.6775312,219809.2649,730,68.79315068,143089.7534,687,20.55604076,42756.56477,808,18.87391089,39257.73465,780,18.20641026,37869.33333,653,22.03981623,45842.81776,645,16.73147287,34801.46357,1200,76.29666667,158697.0667,749,35.12115417,73052.00067,706,76.44464152,159004.8544,749,34.21879172,73052.00067,637,57.10287081,118773.9713,800,57.52125,119644.2,800,35.8440625,74555.65,317,20.62542373,42900.88136,790,34.40443038,193947.6127,595,52.39316239,108977.7778,1560,1411,1505,1502,1501,1504,1524,1514,1342,219,2825.976415,3839.603604,3049.358491
NM,New Mexico,"Yes; License by Credentials or endorsement
Massage therapists may be licensed by credential if they have met similar education and examination requirements in other jurisdictions; the requirements must be judged to be at least substantially equivalent to those of New Mexico (rld.state.nm.us / Massage Therapy Requirements and Continuing Education). ",yes,NA,yes,yes,NA,NA,"650; 165 hours of coursework in anatomy and physiology and other closely related disciplines. At least 40 of the required hours in this content strand are to be in pathology. Kinesiology is also to receive coverage.
At least 150 hours are to consist of massage therapy training; this is to include coverage of contraindications.
At least 75 hours are to be in content areas that the Board terms ""general instruction"". No fewer than 30 of the general instruction hours are to be in professional ethics. Also included in this content area are 1) first aid and 2) CPR/AED; the prospective massage therapist will need four hours in each. Hydrotherapy and business are both to receive coverage. Electives may be in any of the following: theory, hands-on modalities related to massage therapy, breathing and stretching, nutrition, herbology, homeopathy, and counseling. The student may also credit additional hours of anatomy and physiology or massage therapy. Up to 150 hours of practicum may be credited. Other elective topics may be credited, but will need Board approval.

Up to 150 hours of credit may be awarded for prior professional experience carried out under licensure or registration.",yes,NA,yes,yes,yes,75,125,NA,1,NA,NA,NA,2 years,NA,yes,yes,130,31.97727273,57000,180789.5641,47169,2095428,2.2,76.4,3.2,9.6,1.6,0.1,49.1,582,11.13164414,23153.81982,746,112.0040214,232968.3646,100,22,45760,70,12.13076923,25232,577,14.33411612,29814.96153,608,15.21339765,31643.86711,20,18.5,38480,539,13.5447479,28173.07563,506,20.76926877,43200.07905,316,33.42894657,69532.20886,271,58.54238563,121768.1621,316,15.08227848,69532.20886,50,51,106080,501,48.63761468,101166.2385,85,10.2,21216,470,17.50595238,36412.38095,677,59.24575332,219517.7223,111,57.5,119600,767,305,850,739,640,697,648,1119,188,257,1067.860558,1441.176136,1186.713147
NY,New York,No,NA,NA,NA,NA,NA,NA,"1000; 150 in clinic, rest as: Complete coursework in anatomy, physiology, neurology, myology or kinesiology, pathology, hygiene, first aid, CPR, infection control procedures, the chemical ingredients of products that are used and their effects, as well as the theory, technique and practice of both oriental and western massage/bodywork therapy.","yes; NY state exam too, semiannual dates jan 3noth and aug 27th, with applications due by Nov yesst and June yesst for respective exam dates",NA,yes,yes,yes,108; 35 for limited permit if cannot take NY exam within 1 year,NA,NA,1,NA,NA,NA,NA,NA,yes,Yes; semiannual NY state exam also needs to be passes,652,45.56789639,59284.5092,637718.6485,67844,19542209,15.7,63.3,3.3,0.4,8.5,0,19.2,709,14.19203103,29519.42454,744,122.7419355,255303.2258,443,43.39841986,90268.71332,653,21.27794793,44258.1317,801,18.23726592,37933.51311,744,19.63485215,40840.49247,340,22.54411765,46891.76471,640,17.06691406,35499.18125,731,57.61422709,119837.5923,727,28.62887128,59548.05227,521,82.6562116,171924.9201,727,28.10570839,59548.05227,404,50.11517615,104239.5664,754,44.68103448,92936.55172,511,40.22681452,83671.77419,210,23.36363636,48596.36364,741,34.06007422,198886.504,320,56.31161972,117128.169,1524,775,1507,1476,1501,1501,1481,1509,1075,254,2886.487805,3546.925466,3204.441057
NC,North Carolina,"Yes; by endorsement massage therapists seeking a license to practice in North Carolina may apply for a regular license process or through the licensure by endorsement process. The requirements are almost identical, as you can see in the application instructions and checklist.  See https://www.bmbt.org/mtpages/license_by_endorsement.html",yes,NA,NA,NA,NA,NA,"500; The program must be at least 24 weeks in length. The curriculum must contain the following content at a minimum:
200 hours in fundamental theory and practice of massage and bodywork therapy. At least 100 hours of this must be in the application of hands-on methods. Also included in this 200-hour requirement is client assessment skills, indications and contraindications of treatment, body mechanics, draping procedures, infection control, and history of massage and bodywork. 100 hours of anatomy and physiology related to the practice of massage therapy, including instruction of common pathologies
15 hours of professional ethics and North Carolina laws and rules for the practice of massage and bodywork therapy
15 hours of business management practices
20 hours of psychological concepts including therapeutic relationships, and professional communication skills
150 hours in other related courses such as adjunct modalities, specific applications, additional hands-on techniques, or in-depth study of anatomy and physiology.
An official massage therapy school transcript must be submitted direct",yes,NA,yes,yes,yes,20,150,100,NA,NA,NA,24/2 years. This includes a minimum of 3 hours of ethics. A maximum of 6 hours of distance learning and 8 hours of business management can be taken. ,2 years; every Dec 31st,NA,yes,yes,705,42.73900709,71200.22124,166565.931,53855,10383620,21.4,68.4,2.9,1.2,3,0.1,9.6,714,11.53058123,23983.60896,722,90.36980609,187969.1967,514,24.55566802,51075.78947,653,13.43108729,27936.66156,768,19.23785807,40014.74479,730,18.73145205,38961.42027,352,17.91335227,37259.77273,635,14.8693913,30928.33391,710,28.17271127,58599.23944,664,28.39059749,59052.44277,557,50.73369565,105526.087,664,15.58064759,59052.44277,438,52.10273973,108373.6986,707,55.25083612,114921.7391,569,26.98242531,56123.44464,435,17.01946429,35400.48571,740,31.88344595,158482.7372,308,58.77192982,122245.614,1449,486,1507,1282,1439,1394,1462,1522,744,760,1214.785333,1816.573596,1464.851333
ND,North Dakota,Yes; by endorsement,yes,NA,yes,yes,yes,NA,"750; 505 supervised, 245 unsupervised; the 505 supervised: anatomy/physiology/kinesiology 150, pathology 40, clinic 175, massage theory 130, CPR/first aid 10, the 245 unsupervised: business 50, clinical 75, other massage modality courses 120",Yes; and a state jurisprudence exam,NA,yes,yes,yes,150,NA,200,1,NA,NA,"24/2 years, with 10 online at most and the 14 remaining in class",2,NA,yes,yes,60,24,45569,160193.5,63837,760077,3.4,85.7,2.3,5.4,1.8,0,3.6,511,11.35154691,23611.21756,744,106.015457,220512.1505,70,21.33333333,44373.33333,391,13.9153605,28943.94984,646,19.67263932,40919.08978,530,14.67266038,30519.13358,40,13,27040,457,15.46679104,32170.92537,507,20.24358974,42106.66667,114,18.99390604,39507.32456,96,NA,NA,114,16.80701754,39507.32456,15,62.5,130000,285,36.37826087,75666.78261,55,18.5,38480,557,20.27851775,42179.31691,634,72.69164038,173241.2595,15,62.5,130000,832,259,687,369,315,369,321,1013,136,178,996.183432,1215.378378,1078.934911
OH,Ohio,"Yes; by endorsement, if out of state licensed for last five years    https://med.ohio.gov/Apply/Massage-Therapist-MT",yes,NA,NA,NA,NA,NA,750;,yes,NA,yes,yes,yes,153.5,NA,100,NA,NA,NA,no,2,NA,yes,yes,590,38.61186441,42108.93855,102083.288,56111,11689442,12.4,81,3.1,0.2,2.3,0,3.9,730,12.44863014,25893.15068,733,98.27830832,204418.8813,518,30.45275591,63341.73228,551,13.52238806,28126.56716,775,14.91085806,31014.58477,764,14.8722644,30934.30995,150,16.53333333,34389.33333,645,13.27178295,27605.30853,705,24.72549645,51429.03262,664,23.22289989,48303.63178,439,43.82426928,91154.4801,664,15.75715361,48303.63178,185,28.5,59280,707,33.69417476,70083.8835,454,33.1455314,68942.70531,274,28.14,58531.2,765,104.7508497,171151.1425,276,38.53985507,80162.89855,1559,495,1507,1341,1452,1476,1422,1532,1083,393,1356.901042,1901.823529,1586.591146
OK,Oklahoma,Yes; by endorsement; 65 fee instead of 50 and proof of all other licenses in each state holding or had a massage therapy license ,yes,NA,NA,yes,yes,NA,500;,yes,NA,yes,yes,yes,NA,50; 65 for license by reciprocity,50,NA,NA,NA,16,2,yes,NA,yes,340,41.46153846,45000,109105.3529,51924,3943079,7.3,72.2,7.7,7.8,2.1,0.1,10.9,647,10.53496909,21912.7357,732,105.9924863,220464.3716,334,16.52994012,34382.27545,346,14.43208092,30018.72832,737,15.24725916,31714.29905,691,16.44752624,34210.85457,123,14.4159292,29985.13274,663,13.12190799,27293.56863,615,19.43473171,40424.24195,521,23.81325484,49531.57006,198,NA,NA,521,15.64172745,49531.57006,235,62.5,130000,545,43.42747253,90329.14286,315,46.25423729,96208.81356,320,15.08511111,31377.03111,699,26.45036481,168186.7589,284,52.06727273,108299.9273,1195,464,1139,1058,1120,1076,1119,1400,793,360,918.4674221,1196.069444,1025.990085
OR,Oregon,"Yes; by endorsement, but $250 to review transcripts and had to be licensed out of state; The credentialing review and its additional $250 fee is only pertinent to those out of state applicants who have been legally practicing for many years and may not meet the traditional education requirement through certified class instruction. 
Upon completion of a credentialing review the Board may grant a license to applicants who are or have legally practiced massage and/or bodywork outside of the State of Oregon; after successful completion of the jurisprudence, and written examinations.
 
Official Transcripts or Certificates of Completion and Practical Work Experience must be documented on the Credentialing Review Application Addendum and Work Experience Verification Worksheet.
 
The applicant must provide transcripts for: 
200 Anatomy and Physiology, Pathology and Kinesiology hours /8 quarter credits/5.34 semester credits of this with 120 hours/4.8 quarter credits/3.2 semester credits minimum must be from certified class instruction with up to 80 contact hours of prior continuing education in subject areas may apply; and
300 hours/12 quarter credits/8 semester credits Massage Theory and Practical Application, Clinical Practice, Business Development, Sanitation, Communication and Ethics hours of this 140 hours/5.6 quarter credits/3.7 semester credits minimum must be from certified class instruction with up to 120 contact hours of prior continuing education in subject areas, up to 40 hours of practical work experience may apply, and;
125 hours/5 quarter credits/2.4 semester credits which may be in either Health Sciences, Massage or Bodywork Theory and practical application, Clinical Practice, Business Development, Communication, Ethics, Sanitation or Hydrotherapy. Of the 125 hours required, up to 75 contact hours of prior continuing education in subject areas may apply.
??",yes,NA,yes,yes,yes,NA,"625; The Board requires 625 hours/25 quarter credits/15.74 semester credits of education from an accredited or Department of Education approved school with the following:
The 625 hours/25 quarter credits/15.74 semester credits of education must include: 
A minimum of 200 hours/8 quarter credits/ 5.34 semester credits of health sciences, consisting of Anatomy and Physiology, Pathology, and Kinesiology; and 
A minimum of 300 hours/12 quarter credits/8 semester credits of Massage Theory and Practical Application, Clinical Practice, Business Development, Sanitation, Communication, and Ethics. 
The remaining 125 hours/5 quarter credits /2.4 semester credits required may be in any of the above subject areas",Yes; and a state jurisprudence exam,NA,4yes.5,yes,yes,100,"100 or 200 depends on birth year, odds renew again on odd years and evens renew on even years","100-200, odd birth years renew on odd years and even birth year renew on even years. If an applicant’s first renewal is less than 12 months from time of issuance, the Initial License Fee is $100.00. If the applicant’s first renewal is more than 12 months from date of issuance, the Initial License Fee is $200.00.",1,NA,3 moral character references,NA,NA,yes,yes,yes,398,35.8919598,82717.19457,364129.8103,63426,4190713,2,83.9,4.7,1.2,4.6,0.4,13.3,689,14.45976052,30076.30189,714,120.8186275,251302.7451,377,34.47706422,71712.29358,431,17.8286385,37083.56808,793,19.53664565,40636.22295,743,18.86938089,39248.31225,105,17.61904762,36647.61905,709,18.0664598,37578.23639,573,24.20506981,50346.5452,533,20.68122519,43016.94841,328,41.69519231,86726,533,17.53371482,43016.94841,365,53.34328358,110954.0299,629,37.27631579,77534.73684,364,19.0508596,39625.78797,412,25.12319652,52256.24876,753,41.78998008,147561.8552,278,57,118560,1433,805,1492,1010,1138,1412,1217,1506,804,337,1727.340426,2384.790614,1995.846505
PA,Pennsylvania,"Yes; by endorsement, or temporary permit, http://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/049/chapter20/s20.21.html&d=reduce   ",NA,NA,NA,yes,yes,NA,"600;Massage therapy programs must provide at least 600 hours of in-class, postsecondary education instruction, including:
   (1)  At least 175 contact hours of instruction in anatomy and physiology, kinesiology and pathology, including training in the human immunodeficiency virus and related risks.
   (2)  At least 250 contact hours in massage therapy and bodywork assessment, theory and practice including sanitation, safety and hygiene.
   (3)  At least 25 contact hours in professional ethics, and business and law related to a massage therapy business.
   (4)  At least 150 contact hours in related courses appropriate to a massage therapy curriculum as set forth in §  20.13 (related to required knowledge base), including cardiopulmonary resuscitation.
 (b)  Massage therapy programs may meet the 600-hour requirement through both didactic and clinical courses.
 (c)  Externship hours may not be included in the 600-hour minimum education instruction. For purposes of this section, an externship is an offsite practical technique learning experience where the student’s supervision is provided by a licensed massage therapist, supervisor or other appropriate licensed health professional.
 (d)  Hours for practicing assigned techniques under indirect supervision may not be included in the 600-hour minimum education instruction.

",yes,NA,yes,yes,yes,100; 65 for temp permit,NA,125 - 175; ,1,NA,NA,24,2,NA,NA,yes,609,34.07183908,44877.04205,172920.62,60905,12807060,11.2,80.1,2.6,0.2,3.6,0,7.6,741,10.99291498,22865.26316,731,122.4596443,254716.0602,524,31.99903661,66557.99615,507,16.2642998,33829.74359,820,18.96044512,39437.72585,772,15.77910622,32820.54093,259,18.23293173,37924.49799,761,16.25903417,33818.79106,683,23.71120059,49319.29722,650,23.41507101,48703.34769,402,46.63461538,97000,650,15.4002,48703.34769,342,51.40060241,106913.253,639,42.0013,87362.704,378,27.51639942,57234.11079,284,16.51746479,34356.32676,779,36.09912709,207720.7831,253,39.32217573,81790.12552,1537,712,1457,1237,1411,1410,1380,2276,956,270,1944.320611,3076.197248,2404.162214
RI,Rhode Island,Yes,yes,NA,yes,yes,yes,NA,500;,yes,NA,yes,yes,yes,65,NA,37.5,1,NA,3 character letters,12,1,NA,yes,yes; score of at least 63no,613,39.64559543,44488.26116,252537.9,64340,1057315,6.7,80.7,3.1,0.4,3.4,0.1,15.9,734,12.51123978,26023.37875,739,123.3051421,256474.6955,661,23.52874433,48939.7882,653,17.99617152,37432.03675,815,17.04969325,35463.36196,745,22.93993289,47715.0604,325,18.33846154,38144,759,19.53527668,40633.37549,714,27.4807423,57159.94398,660,34.71842839,72214.33106,599,84.36153846,175472,660,18.47481061,72214.33106,210,63.51190476,132104.7619,764,65.65273775,136557.6945,568,19.42539964,40404.83126,220,14.53409091,30230.90909,737,105.5658073,149933.9607,276,61.98308271,128924.812,1381,720,1489,1401,1417,1491,1433,2871,1108,177,3095.936416,4140.877419,3706.323699
SC,South Carolina,Yes; by endorsement a school approved and licensing exam has to be reviewed by the South Carolina Board of Massage Therapy,yes,NA,NA,yes,yes,NA,500;,yes,NA,yes,yes,yes,50,100,NA,NA,NA,NA,12/2years,NA,NA,yes,yes,542,36.86623616,80947,181933.1714,52306,5084127,26.6,67,2.4,0.5,1.6,0.1,5.8,727,10.95976616,22796.31362,737,115.0407056,239284.6676,523,27.81453155,57854.22562,641,14.45436817,30065.0858,760,14.38536184,29921.55263,728,15.61675824,32482.85714,125,17,35360,743,14.14233513,29416.05707,707,21.96817539,45693.80481,603,32.0634145,66691.90216,274,NA,NA,603,17.64946103,66691.90216,160,56.32142857,117148.5714,714,45.39385965,94419.22807,477,25.82239819,53710.58824,229,14.34913793,29846.2069,745,33.37919463,207336.2362,195,62.5,130000,1341,273,1411,1293,1317,1254,1267,1527,553,521,1258.442495,1718.063043,1463.536062
