stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
MI,Michigan,NA,NA,NA,NA,NA,NA,NA,"500; 200 massage practice/theory, 125 body systems/anatomy/kinesiology, 40 pathology, 6 ethics, 4 business, 40 intern",yes,NA,yes,yes,yes,95,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,724,37.27023481,54872.1865,107764.5833,56697,9995915,13.8,78.3,2.9,0.5,3.3,0,5.2,752,12.82526596,26676.55319,782,44.407289,92367.16113,521,30.80042017,64064.87395,582,15.53908935,32321.30584,791,20.53829962,42719.66321,648,14.65459105,30481.54938,384,15.13671875,31484.375,783,17.22751596,35833.23321,713,20.65217391,42956.52174,651,35.38706804,73605.10152,535,67.30769231,140000,800,42.0120375,85024.12063,651,15.96159754,73605.10152,565,43.28452594,90031.81395,735,44.80639731,93197.3064,539,30.07142857,62548.57143,280,17.53921569,36481.56863,800,37.011875,183040.575,338,56.62162162,117772.973,1601,1069,1515,1424,1497,1458,1434,1513,1130,257,1443.65587,1941.24878,1650.058704
MN,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,35.08931553,80233.44652,252568.0408,70315,5611179,6.6,82.5,3.1,1.1,4.9,0,5.5,753,12.42502656,25844.05525,774,42.94186047,89319.06977,538,39.25568182,81651.81818,590,16.40827586,34129.21379,797,18.11233375,37673.6542,625,15.02932,31260.9856,599,22.44156928,46678.46411,788,20.10288706,41814.00508,751,23.40592543,48684.3249,591,39.97823488,83154.72855,510,NA,NA,807,44.05089219,106500.4157,591,20.86230118,83154.72855,570,28.53368794,59350.07092,664,54.19754253,112730.8885,627,81.6625817,169858.1699,509,21.00982318,43700.43222,774,35.85414729,58963.94206,517,54.67601547,113726.1122,1547,1263,1415,1256,1297,1343,1328,1531,1165,233,1917.252212,2926.392857,2346.188053
MS,Mississippi,"yes by endorsement; An out-of-state massage therapist can be licensed by reciprocity with as few as 500 in-class hours of academic instruction, provided he or she has the requisite qualifications, including experience. Reciprocity candidates must have three years of experience; this requirement is the same whether the massage therapist comes from a regulated or unregulated state.
",yes,NA,yes,NA,NA,NA,"700; 600 academic, 100 clinic, The instructional hours are to be distributed as follows:

Study of the human body is to comprise at least 200 hours. There must be at least 20 hours devoted to each of the following: anatomy, physiology, neurology, myology/ kinesiology, and pathology; pathology coursework is to include medical terminology. The other 100 hours of body systems study may be distributed among the required content areas in any manner.

Massage therapy theory and practicum are together to comprise at least 200 hours. At least 100 of these hours are to consist of demonstration and supervised practice; demonstration and practice is to include client evaluation, draping, and range-of-motion as well as specific massage techniques identified by the Board, for example, kneading, stroking, percussion, vibration, and use of hand-held tools. At least 20 combined hours are to cover massage therapy history, indications, contraindications and benefits. Also included in this content area are 10 hours of study in legality and ethics; this is to include Mississippi massage therapy law.

Allied modalities are to comprise at least 200 hours. The following content must be included:

Eastern, Western, and European methods: 7 hours
Hydrotherapy and infrared heat: 25 hours
Healthcare referral: 20 hours
Charting and documentation: 10 hours
Cardiopulmonary resuscitation and first aid: 8 hours
The remaining hours may consist of additional coursework in the five content areas above or other massage therapy and wellness topics, for example, special populations, trigger points, safety, and communication.",yes,NA,yes,yes,yes,50,200,NA,1,NA,NA,NA,NA,NA,yes,yes,146,33.5,48543.01587,81255.42308,51049,2986530,38,58.1,1.5,0.4,0.9,0,2.9,603,10.80233564,22468.85813,772,44.65090674,92873.88601,225,21.72093023,45179.53488,243,11.41515837,23743.52941,729,13.06690672,27179.16598,604,10.74793046,22355.69536,170,11.42647059,23767.05882,720,15.63238889,32515.36889,655,16.27251908,33846.83969,293,38.63743021,80365.85484,121,46.95288462,97662,791,34.70306574,89491.96073,293,11.92266187,80365.85484,88,27.5,57200,568,NA,NA,264,15.49015748,32219.52756,365,23.79094828,49485.17241,708,27.37993644,195526.0348,29,34.16666667,71066.66667,837,361,892,750,864,780,852,1403,301,158,916.7236842,1111.446602,974.4835526
MO,Missouri,NA,yes,NA,yes,yes,NA,NA,"500; 300 hours are to be devoted to the theory and practice of massage therapy. At least 100 hours are to be in anatomy and physiology. The curriculum must also include 50 hours in the combined areas of business practice, hygiene, ethics, and Missouri massage law. Another 50 hours are to cover ancillary therapies; CPR training is included in this content strand.",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,576,34.11545139,41485.041,143279.2182,54478,6126452,11.5,82.2,2.8,0.5,2,0.1,4.1,725,11.59905303,24126.0303,757,44.20805812,91952.7609,496,30.09674134,62601.222,555,14.48851351,30136.10811,774,16.91437339,35181.89664,612,14.09262255,29312.6549,452,15.47234513,32182.47788,756,18.00265212,37445.5164,679,21.70324006,45142.73932,575,23.16775298,48188.9262,513,37.68507031,78384.94625,811,35.91743527,85032.21594,575,17.32753509,48188.9262,359,20.56811594,42781.68116,735,39.13766568,81406.34462,595,24.99429825,51988.14035,392,25.32984581,52686.0793,773,18.31614489,124410.0064,227,61.3372093,127581.3953,1420,717,1390,1215,1273,1299,1285,1503,1064,361,1260.653409,1907.370242,1504.772727
MT,Montana,"Yes by endoresement; Out-of-state massage therapists can be licensed by credential if it is determined that they hold an equivalent license.

The licensing agency reports that the following states have been reviewed and found eligible for license by credential: Florida, Georgia, Idaho, Kentucky, Nebraska, New Hampshire, New York, New Mexico, North Dakota, Ohio, South Dakota, Utah, and Washington (bsd.dli.mt.gov/license / lmt board). Additional states may be added to the list following review.

Out-of-state licensees will find a “license by credential” application on the Board website (bsd.dli.mt.gov/license / bsd_boards). They should be prepared to provide a copy of the statutes and rules that govern licensure in the other state.

The out-of-state license must be in good standing. A license verification form is included in the application packet. The massage therapist will fill out the top portion and send it to the state of licensure.

Applicants for license by credential will need to provide two character references as well as documentation of age and documentation of high school completion (or equivalency).

If the other state’s statutes and rules to do not establish equivalency, the licensing agency may request additional information from the applicant.",yes,NA,NA,NA,NA,NA,"500; 125 hours of instruction in body systems (anatomy, physiology, kinesiology); 200 hours of instruction in massage and bodywork theory, application, and assessment; 40 hours in pathology; ten hours in ethics and business (with no fewer than six hours in ethics).",yes,NA,yes,yes,yes,140,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,45,28.16666667,NA,240545.8696,55328,1062305,0.5,88.6,3.1,6.4,0.8,0.1,3.9,490,12.1221875,25214.15,768,44.60351563,92775.3125,80,14,29120,55,13.2,27456,613,15.16721044,31547.79772,386,13.92235751,28958.50363,70,15.89285714,33057.14286,704,17.61877841,36647.05909,511,14.05088063,29225.8317,158,19.23076923,40000,90,NA,NA,796,44.29851131,82147.69284,158,14.81962025,40000,100,24.21794872,50373.33333,317,44.29923611,92142.41111,35,9,18720,436,23.32082367,48507.31323,651,34.88431644,140414.1321,34,62.5,130000,666,255,845,243,357,570,343,1057,125,35,1310.133333,1647.75,1367.283333
NE,Nebraska,"yes by endorsement; Massage therapists who hold licensing in other states are required to demonstrate a total of 1,000 hours of education and training but are allowed more leeway in how they meet the requirement. Educational hours do not have to be distributed in the manner usually required by the licensing agency (sos.ne.gov Rules Health and Human Services System pdf). The massage therapist can credit work experience toward education/ training requirements at a rate of 100 hours per year of full-time experience. The licensing agency will credit as many as 100 hours of education for continuing education pursued through organizations approved by the FSMTB or the NCBTMB. A semester credit of related college coursework can be credited as 15 hours.

An out-of-state massage therapist who does not yet meet Nebraska licensing requirements may be issued a temporary license that authorizes work under supervision.",yes,NA,NA,yes,yes,yes,"1000; The massage therapy student will need 100 hours in each of the following areas:

Anatomy
Physiology
Hygiene and Practical demonstration
Hydrotherapy
Pathology
Massage
Health service management",yes,NA,yes,yes,yes,110,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,129,26.51162791,45500,192748.9524,59566,1929268,4.7,86.4,3.1,1,2.4,0.1,11.1,480,12.77759309,26577.39362,793,44.54918033,92662.29508,233,28.13302752,58516.69725,145,11.75625,24453,753,15.36459495,31958.3575,432,15.24282407,31705.07407,125,16.66,34652.8,738,17.74373306,36906.96477,585,15.77435897,32810.66667,239,24.08353365,50093.75,145,32.71995192,68057.5,815,34.77663804,83477.96223,239,16.69617225,50093.75,52,39.52631579,82214.73684,269,44,91520,60,18,37440,763,24.8662713,51721.8443,602,24.61990033,186849.4061,75,62.5,130000,718,336,608,601,523,511,529,910,318,199,1099.53125,1461.666667,1249.932292
NV,Nevada,NA,yes,NA,yes,yes,yes,yes,"550; One hundred twenty-five (125) hours of instruction in the body’s systems, including, without limitation, anatomy, physiology and kinesiology;
Two hundred twenty (220) hours of instruction which is taken in a classroom setting with hands-on instruction in assessment, theory and application instruction, which must include not less than 80 hours in clinical instruction;
Forty (40) hours of instruction in pathology;
Twenty (20) hours of instruction in business;
Twenty (20) hours of instruction in ethics; and
One hundred twenty-five hours (125) of instruction in other courses of massage therapy in a classroom setting with hands-on instruction.",yes,NA,yes,yes,yes,185,295,NA,NA,NA,NA,NA,NA,NA,yes,yes,718,70.22357939,85428.27298,264014.6923,58646,3034392,9.2,63.4,5.1,1.5,8.2,0.6,29,766,12.7136423,26444.37598,774,44.10917313,91747.0801,627,45.98165869,95641.85008,614,16.23045603,33759.34853,763,18.33024902,38126.91796,662,14.20411631,29544.56193,360,16.97916667,35316.66667,756,17.98462302,37408.01587,663,25.11312217,52235.29412,552,39.753125,82686.5,99,NA,NA,831,63.89049338,96708.82852,552,17.41983696,82686.5,105,42.5,88400,643,55,114400,617,41.02010969,85321.82815,467,19.19914347,39934.21842,753,34.46945551,142592.3778,59,62.5,130000,1475,699,1519,1389,1431,1426,1476,1522,1140,663,1300.10229,1958.171875,1586.975573
NH,New Hampshire,NA,NA,NA,NA,NA,NA,NA,750;,yes,NA,yes,yes,yes,110,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,476,24.9044586,51010.40764,227562.85,74991,1356458,1.7,92.4,2.2,0.3,2.7,0,3.9,731,12.22024624,25418.11218,778,41.85796915,87064.57584,453,38.40343915,79879.15344,541,16.63934426,34609.83607,804,18.45808458,38392.81592,616,16.97686688,35311.88312,243,15.84156379,32950.45267,773,19.16465718,39862.48693,616,19.07555178,39677.14771,344,29.25141614,60842.94558,377,58.06660772,120778.5441,816,36.30257353,78682.625,344,20.78924419,60842.94558,93,13.45689655,27990.34483,706,39.34188742,81831.12583,387,23.26198083,48384.92013,171,22,45760,765,25.07372549,172186.7876,200,62.5,130000,1044,413,1221,915,985,1116,932,1404,534,40,1901.583333,2663.56,2160.125
NJ,New Jersey,"yes by Endorsement
A massage therapist can also be licensed on the basis of current credentialing in another U.S. state; the other state must have educational requirements that are at least substantially similar to those of New Jersey. A candidate for license by endorsement will need to request credential verification from each U.S. jurisdiction where he or she has ever held licensure or certification.",yes,NA,yes,yes,yes,yes,"500; 90 hours of anatomy, physiology, pathophysiology
ethics and law;
theory and practice;
electives related to the practice of massage and bodywork therapy;
and at least 100 hours of clinical practice under the supervision of a faculty member legally authorized to practice in the State in which the school exists. ",yes,NA,yes,yes,yes,120,NA,NA,1,NA,NA,NA,NA,yes,"yes; The course of study must be taken in a school accredited or approved by:

??the New Jersey Department of Education;
the New Jersey Department Labor and Workforce Development;
the New Jersey Commission on Higher Education;
or an agency of another state which substantially meets the requirements of the New Jersey Department of Education,
the New Jersey Department of Labor and Workforce Development; or
the New Jersey Commission on Higher Education.",yes,777,45.96525097,65573.42342,259979.7857,81740,8908520,13.6,66.9,2.8,0.2,9.7,0,20.6,730,12.15027397,25272.56986,772,39.74546632,82670.56995,734,62.41280654,129818.6376,735,21.15170068,43995.53741,803,18.39557908,38262.80448,627,14.54545455,30254.54545,677,21.0450517,43773.70753,777,33.33655084,69340.02574,756,100.9609788,209998.836,742,36.15711402,75206.79717,723,78.29007894,162843.3642,842,45.25593824,87621.6734,742,29.81822776,75206.79717,123,22.86842105,47566.31579,808,53.32735149,110920.8911,788,86.77553934,180493.1218,411,18.16133005,37775.5665,811,27.69913687,196972.9741,550,52.4103512,109013.5305,1568,1415,1506,1503,1501,1503,1524,1516,1342,230,2801.538117,3846.4375,3013.143498
NM,New Mexico,"Yes; License by Credentials or endorsement
Massage therapists may be licensed by credential if they have met similar education and examination requirements in other jurisdictions; the requirements must be judged to be at least substantially equivalent to those of New Mexico (rld.state.nm.us / Massage Therapy Requirements and Continuing Education). ",yes,NA,yes,yes,NA,NA,"650; 165 hours of coursework in anatomy and physiology and other closely related disciplines. At least 40 of the required hours in this content strand are to be in pathology. Kinesiology is also to receive coverage.

At least 150 hours are to consist of massage therapy training; this is to include coverage of contraindications.

At least 75 hours are to be in content areas that the Board terms ""general instruction"". No fewer than 30 of the general instruction hours are to be in professional ethics. Also included in this content area are 1) first aid and 2) CPR/AED; the prospective massage therapist will need four hours in each. Hydrotherapy and business are both to receive coverage.

Electives may be in any of the following: theory, hands-on modalities related to massage therapy, breathing and stretching, nutrition, herbology, homeopathy, and counseling. The student may also credit additional hours of anatomy and physiology or massage therapy. Up to 150 hours of practicum may be credited. Other elective topics may be credited, but will need Board approval.

Up to 150 hours of credit may be awarded for prior professional experience carried out under licensure or registration.",yes,NA,yes,yes,yes,75,125,NA,1,NA,NA,NA,2 years,NA,yes,yes,135,28.04347826,57000,180789.5641,47169,2095428,2.2,76.4,3.2,9.6,1.6,0.1,49.1,593,11.28496193,23472.72081,789,40.31495564,83855.10773,120,19.375,40300,75,12.55,26104,581,14.77659208,30735.31153,477,12.77367585,26569.24576,115,16.10869565,33506.08696,704,14.92491477,31043.82273,582,17.44329897,36282.06186,289,37.82990935,78686.21145,280,58.85010754,122408.2237,828,35.05986715,89382.73068,289,17.23010381,78686.21145,753,33.19455511,69044.67463,469,47.92578125,99685.625,85,15,31200,505,22.30710204,46398.77224,663,37.11237557,222658.4178,92,62.5,130000,768,314,848,732,632,695,648,1119,187,251,1070.938776,1443.802395,1188.863265
NY,New York,NA,NA,NA,NA,NA,NA,NA,"1000; 150 in clinic, rest as: Complete coursework in anatomy, physiology, neurology, myology or kinesiology, pathology, hygiene, first aid, CPR, infection control procedures, the chemical ingredients of products that are used and their effects, as well as the theory, technique and practice of both oriental and western massage/bodywork therapy.","yes; NY state exam too, semiannual dates jan 3noth and aug 27th, with applications due by Nov yesst and June yesst for respective exam dates",NA,yes,yes,yes,108; 35 for limited permit if cannot take NY exam within 1 year,NA,NA,1,NA,NA,NA,NA,NA,yes,Yes; semiannual NY state exam also needs to be passes,613,45.75379427,55637.84666,637718.6485,67844,19542209,15.7,63.3,3.3,0.4,8.5,0,19.2,717,14.18758717,29510.18131,788,41.24682741,85793.40102,429,37.54336043,78090.1897,650,21.40923077,44531.2,782,18.44998721,38375.9734,643,25.84568429,53759.02333,450,20.04,41683.2,769,24.22011053,50377.82991,724,67.02607044,139414.2265,686,32.85072326,68329.50437,509,82.6946117,172004.7923,822,43.34131995,94790.01521,686,24.98728134,68329.50437,508,40.37550607,83981.05263,741,44.29959514,92143.15789,585,67.1619469,139696.8496,252,16.86486486,35078.91892,790,26.53329114,205210.5785,297,56.56225681,117649.4942,1528,777,1509,1475,1501,1501,1479,1509,1075,266,3098.182171,3591.099379,3417.75969
NC,North Carolina,"Yes by endorsement; Massage therapists seeking a license to practice in North Carolina may apply for a regular license process or through the licensure by endorsement process. The requirements are almost identical, as you can see in the application instructions and checklist.  See https://www.bmbt.org/mtpages/license_by_endorsement.html",yes,NA,NA,NA,NA,NA,"500; The program must be at least 24 weeks in length. The curriculum must contain the following content at a minimum:

200 hours in fundamental theory and practice of massage and bodywork therapy. At least 100 hours of this must be in the application of hands-on methods. Also included in this 200-hour requirement is client assessment skills, indications and contraindications of treatment, body mechanics, draping procedures, infection control, and history of massage and bodywork.
100 hours of anatomy and physiology related to the practice of massage therapy, including instruction of common pathologies
15 hours of professional ethics and North Carolina laws and rules for the practice of massage and bodywork therapy
15 hours of business management practices
20 hours of psychological concepts including therapeutic relationships, and professional communication skills
150 hours in other related courses such as adjunct modalities, specific applications, additional hands-on techniques, or in-depth study of anatomy and physiology.
An official massage therapy school transcript must be submitted direct",yes,NA,yes,yes,yes,20,150,100,NA,NA,NA,24 CEU credit hours. This includes a minimum of 3 hours of ethics. A maximum of 6 hours of distance learning and 8 hours of business management can be taken. ,2 years; every Dec 31st,NA,yes,yes,598,39.15196078,73850.7326,166565.931,53855,10383620,21.4,68.4,2.9,1.2,3,0.1,9.6,683,11.29959736,23503.16252,786,40.02290076,83247.63359,495,23.81421053,49533.55789,680,13.59191176,28271.17647,753,16.03378486,33350.27251,615,12.30886179,25602.43252,512,17.9765625,37391.25,763,16.70980996,34756.40472,710,28.31126761,58887.43662,559,30.1005715,62609.18873,555,49.19048857,102316.2162,826,45.84306901,82989.69794,559,15.18864043,62609.18873,413,24.66464891,51302.46973,694,53.37209302,111013.9535,556,35.5044964,73849.35252,413,17.33894472,36065.00503,775,30.83683871,212068.4213,307,59.38297872,123516.5957,1448,489,1509,1277,1437,1393,1463,1526,743,752,1215.707547,1813.248869,1469.307278
ND,North Dakota,Yes by endorsement,yes,NA,yes,yes,yes,NA,"750; 505 supervised, 245 unsupervised; the 505 supervised: anatomy/physiology/kinesiology 150, pathology 40, clinic 175, massage theory 130, CPR/first aid 10, the 245 unsupervised: business 50, clinical 75, other massage modality courses 120",Yes; and a state jurisprudence exam,NA,yes,yes,yes,150,NA,200,1,NA,NA,"24 hours; every 2 years, with 10 online at most and the 14 remaining in class",2,NA,yes,yes,60,24,45569,160193.5,63837,760077,3.4,85.7,2.3,5.4,1.8,0,3.6,493,11.45574534,23827.95031,782,41.00767263,85295.95908,85,21,43680,288,12.921875,26877.5,661,16.71596067,34769.19818,453,14.66328125,30499.625,45,11,22880,665,19.03449624,39591.75218,543,14.9581749,31113.0038,66,22.29035027,46363.92857,80,NA,NA,793,43.66404792,87594.99496,66,17.5,46363.92857,NA,NA,NA,280,44.46045802,92477.75267,70,18.5,38480,656,24.7578125,51496.25,588,51.53852041,159827.2576,15,62.5,130000,832,264,691,359,305,369,321,1014,136,177,993.2857143,1194.691589,1068.747024
OH,Ohio,"Yes by endorsement, if out of state licensed for last five years    https://med.ohio.gov/Apply/Massage-Therapist-MT",yes,NA,NA,NA,NA,NA,750;,yes,NA,yes,yes,yes,153.5,NA,100,NA,NA,NA,no,2,NA,yes,yes,583,40.75686106,44683.90805,102083.288,56111,11689442,12.4,81,3.1,0.2,2.3,0,3.9,731,12.57606019,26158.2052,774,40.97609819,85230.28424,514,24.78441296,51551.57895,602,14.43048576,30015.41039,769,16.68172952,34697.9974,609,12.90287356,26837.97701,319,14.95768025,31111.97492,783,17.47277139,36343.3645,683,21.16149341,44015.9063,594,23.14126784,48133.83711,423,43.74191693,90983.18721,831,35.27255716,82524.61131,594,15.75210438,48133.83711,365,31.40555556,65323.55556,680,38.66911765,80431.76471,487,32.08904867,66745.22124,263,26.69827586,55532.41379,781,62.38732394,173256.1146,242,42.06443299,87494.02062,1553,503,1509,1336,1449,1476,1424,1531,1086,397,1357.474227,1891.169697,1585.734536
OK,Oklahoma,Yes by endorsement; 65 fee instead of 50 and proof of all other licenses in each state holding or had a massage therapy license ,yes,NA,NA,yes,yes,NA,500;,yes,NA,yes,yes,yes,NA,50; 65 for license by reciprocity,50,NA,NA,NA,16,2,yes,NA,yes,314,43.5,45000,109105.3529,51924,3943079,7.3,72.2,7.7,7.8,2.1,0.1,10.9,660,10.32749242,21481.18424,788,40.29822335,83820.30457,343,17.13483965,35640.46647,330,14.8219697,30829.69697,720,14.90905556,31010.83556,559,14.33009191,29806.59118,291,13.21174377,27480.42705,734,18.22752044,37913.24251,581,18.08234079,37611.26885,457,24.64706537,51265.89597,205,NA,NA,809,45.28694685,71019.70952,457,14.93055556,51265.89597,340,25.02160494,52044.93827,556,45.14712389,93906.0177,345,43.28846154,90040,313,22.45867647,46714.04706,706,17.7457153,194352.7963,286,54.35326087,113054.7826,1195,464,1139,1055,967,1076,1121,1396,795,361,918.0621469,1201.51049,1025.062147
OR,Oregon,"Yes by endorsement, but $250 to review transcripts and had to be licensed out of state; The credentialing review and its additional $250 fee is only pertinent to those out of state applicants who have been legally practicing for many years and may not meet the traditional education requirement through certified class instruction. 

Upon completion of a credentialing review the Board may grant a license to applicants who are or have legally practiced massage and/or bodywork outside of the State of Oregon; after successful completion of the jurisprudence, and written examinations.
 
Official Transcripts or Certificates of Completion and Practical Work Experience must be documented on the Credentialing Review Application Addendum and Work Experience Verification Worksheet.
 
The applicant must provide transcripts for: 
200 Anatomy and Physiology, Pathology and Kinesiology hours /8 quarter credits/5.34 semester credits of this with 120 hours/4.8 quarter credits/3.2 semester credits minimum must be from certified class instruction with up to 80 contact hours of prior continuing education in subject areas may apply; and
300 hours/12 quarter credits/8 semester credits Massage Theory and Practical Application, Clinical Practice, Business Development, Sanitation, Communication and Ethics hours of this 140 hours/5.6 quarter credits/3.7 semester credits minimum must be from certified class instruction with up to 120 contact hours of prior continuing education in subject areas, up to 40 hours of practical work experience may apply, and;
125 hours/5 quarter credits/2.4 semester credits which may be in either Health Sciences, Massage or Bodywork Theory and practical application, Clinical Practice, Business Development, Communication, Ethics, Sanitation or Hydrotherapy. Of the 125 hours required, up to 75 contact hours of prior continuing education in subject areas may apply.
??",yes,NA,yes,yes,yes,NA,"625; The Board requires 625 hours/25 quarter credits/15.74 semester credits of education from an accredited or Department of Education approved school with the following:
The 625 hours/25 quarter credits/15.74 semester credits of education must include: 
A minimum of 200 hours/8 quarter credits/ 5.34 semester credits of health sciences, consisting of Anatomy and Physiology, Pathology, and Kinesiology; and 
A minimum of 300 hours/12 quarter credits/8 semester credits of Massage Theory and Practical Application, Clinical Practice, Business Development, Sanitation, Communication, and Ethics. 
The remaining 125 hours/5 quarter credits /2.4 semester credits required may be in any of the above subject areas",Yes; and a state jurisprudence exam,NA,4yes.5,yes,yes,100,100 - 200,"2 years, expires the day before the month of birthday, even year births renew on even years and odd on odd years; The Initial License Fee is based upon renewal date, which is based upon applicant birth month/year. Individuals born in odd numbered years will renew every odd numbered year, regardless of when their initial license was issued. Those born during an even year will renew every even year. Additionally, licensees must renew before the first day of their birth month. If an applicant’s first renewal is less than 12 months from time of issuance, the Initial License Fee is $100.00. If the applicant’s first renewal is more than 12 months from date of issuance, the Initial License Fee is $200.00.",1,NA,3 moral character references,NA,NA,yes,yes,yes,469,33.15884861,76608.69565,364129.8103,63426,4190713,2,83.9,4.7,1.2,4.6,0.4,13.3,651,14.1609063,29454.6851,783,40.90293742,85078.10983,363,34.49188312,71743.11688,416,17.89302885,37217.5,807,19.64902726,40869.9767,605,14.78690083,30756.75372,265,21.08113208,43848.75472,772,20.43146373,42497.44456,590,24.26016949,50461.15254,516,21.68309102,45100.82933,315,NA,NA,847,39.27638135,99743.60508,516,18.70833333,45100.82933,192,19.70338983,40983.05085,582,33.6555942,70003.63594,361,37.9398827,78914.95601,471,20.27982646,42182.03905,756,24.91393519,178653.7606,263,62.5,130000,1435,807,1500,1003,1283,1412,1217,1505,804,335,1715.119632,2387.985507,1993.783742
PA,Pennsylvania,"Yes by endorsement, or temporary permit, http://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/049/chapter20/s20.21.html&d=reduce   ",NA,NA,NA,yes,yes,NA,"600;Massage therapy programs must provide at least 600 hours of in-class, postsecondary education instruction, including:

   (1)  At least 175 contact hours of instruction in anatomy and physiology, kinesiology and pathology, including training in the human immunodeficiency virus and related risks.

   (2)  At least 250 contact hours in massage therapy and bodywork assessment, theory and practice including sanitation, safety and hygiene.

   (3)  At least 25 contact hours in professional ethics, and business and law related to a massage therapy business.

   (4)  At least 150 contact hours in related courses appropriate to a massage therapy curriculum as set forth in §  20.13 (related to required knowledge base), including cardiopulmonary resuscitation.

 (b)  Massage therapy programs may meet the 600-hour requirement through both didactic and clinical courses.

 (c)  Externship hours may not be included in the 600-hour minimum education instruction. For purposes of this section, an externship is an offsite practical technique learning experience where the student’s supervision is provided by a licensed massage therapist, supervisor or other appropriate licensed health professional.

 (d)  Hours for practicing assigned techniques under indirect supervision may not be included in the 600-hour minimum education instruction.

",yes,NA,yes,yes,yes,100; 65 for temp permit,NA,125 - 175; ,1,NA,NA,24,2,NA,NA,yes,593,34.52624789,43049.975,172920.62,60905,12807060,11.2,80.1,2.6,0.2,3.6,0,7.6,719,11.90194715,24756.05007,790,39.93417722,83063.08861,480,34.69892473,72173.76344,496,18.11189516,37672.74194,817,18.44118727,38357.66952,654,14.55119266,30266.48073,439,15.69931663,32654.57859,776,21.65625644,45045.0134,667,24.95652174,51909.56522,611,30.50533717,63451.10132,407,48.66309172,101219.2308,812,36.30671798,72543.0782,611,15.5689198,63451.10132,394,33.33919271,69345.52083,693,49.8657045,103720.6654,399,46.21273713,96122.49322,287,19.2871777,40117.32962,781,38.13304738,160243.0122,258,39.47736626,82112.92181,1539,723,1458,1232,1408,1410,1380,1521,957,263,1967.788235,3100.944444,2438.982353
