stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,yogaInstructor jobsListed,yogaInstructor avgHourly,yogaInstructor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
MA,Massachusetts,No,yes,NA,yes,NA,NA,NA,"550; 100 anatomy, 45 kinesiology, 45 pathology, 300 massage theory/practice, 60 ethics/professionalism, 100 intern/hands on training",NA,NA,yes,yes,yes,225,NA,NA,NA,6 weeks,1,NA,NA,yes,yes,NA,726,43.50223829,51134.44749,537437.7534,79835,6902149,7.8,77.3,3.4,0.2,6.8,0,12.3,750,14.212,29560.96,758,46.41094987,96534.77573,695,42.53453237,88471.82734,661,24.31391831,50572.95008,801,20.72331461,43104.49438,775,20.95516129,43586.73548,695,23.38633094,48643.56835,764,21.23518979,44169.19476,711,36.7842827,76511.30802,718,27.0173392,56196.06555,739,77.53579649,161274.4567,835,48.38093413,91117.5994,718,21.08983287,56196.06555,448,36.76636569,76474.04063,786,64.88215649,134954.8855,633,25.94983687,53975.66069,245,14.80434783,30793.04348,794,62.29345088,107189.1033,424,34,70720,445,25.94936709,53974.68354,1542,1113,1512,1476,1500,1500,1521,3043,1598,241,3222.726496,5231.703297,4012.002137
MI,Michigan,No,NA,NA,NA,NA,NA,NA,"500; 200 massage practice/theory, 125 body systems/anatomy/kinesiology, 40 pathology, 6 ethics, 4 business, 40 intern",yes,NA,yes,yes,yes,95,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,756,35.86044974,53902.19782,107764.5833,56697,9995915,13.8,78.3,2.9,0.5,3.3,0,5.2,772,12.51058938,26022.02591,757,49.8005284,103585.0991,538,26.18198874,54458.53659,656,16.98856707,35336.21951,793,20.83480454,43336.39344,768,15.15445964,31521.27604,600,17.625,36660,759,16.64832016,34628.50593,731,37.03991108,77043.01505,652,30.13367384,62678.04159,606,65.75945241,136779.661,814,42.45565725,82667.20639,652,17.53604294,62678.04159,195,27.33333333,56853.33333,723,40.79384615,84851.2,575,33.07304348,68791.93043,313,17.38194444,36154.44444,768,45.31097005,128613.6751,338,21.55255255,44829.30931,240,45,93600,1601,1063,1515,1426,1499,1458,1433,3022,1130,256,1457.98374,1978.087805,1672.764228
MN,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,39.24186644,70585.92267,252568.0408,70315,5611179,6.6,82.5,3.1,1.1,4.9,0,5.5,753,12.69395086,26403.4178,756,50.39285714,104817.1429,525,25.23203883,52482.64078,610,15.84166667,32950.66667,808,18.91522277,39343.66337,751,20.55593875,42756.3526,607,21.05766063,43799.9341,759,20.01652833,41634.37892,765,25.83917647,53745.48706,591,24.5980735,51163.99287,645,64.90384615,135000,820,32.802,100718.6305,591,36.14155668,51163.99287,523,32.34259259,67272.59259,636,41,85280,583,19.8383659,41263.80107,538,20.917154,43507.68031,779,44.58151476,146720.8209,519,32.13492063,66840.63492,515,33.25882353,69178.35294,1542,1262,1415,1257,1302,1343,1328,2286,1165,239,1896.623932,2916.167488,2336.382479
MS,Mississippi,"Yes; by endorsement; An out-of-state massage therapist can be licensed by reciprocity with as few as 500 in-class hours of academic instruction, provided he or she has the requisite qualifications, including experience. Reciprocity candidates must have three years of experience; this requirement is the same whether the massage therapist comes from a regulated or unregulated state.
",yes,NA,yes,NA,NA,NA,"700; 600 academic, 100 clinic, The instructional hours are to be distributed as follows: Study of the human body is to comprise at least 200 hours. There must be at least 20 hours devoted to each of the following: anatomy, physiology, neurology, myology/ kinesiology, and pathology; pathology coursework is to include medical terminology. The other 100 hours of body systems study may be distributed among the required content areas in any manner. Massage therapy theory and practicum are together to comprise at least 200 hours. At least 100 of these hours are to consist of demonstration and supervised practice; demonstration and practice is to include client evaluation, draping, and range-of-motion as well as specific massage techniques identified by the Board, for example, kneading, stroking, percussion, vibration, and use of hand-held tools. At least 20 combined hours are to cover massage therapy history, indications, contraindications and benefits. Also included in this content area are 10 hours of study in legality and ethics; this is to include Mississippi massage therapy law. Allied modalities are to comprise at least 200 hours. The following content must be included: Eastern, Western, and European methods: 7 hours
Hydrotherapy and infrared heat: 25 hours
Healthcare referral: 20 hours
Charting and documentation: 10 hours
Cardiopulmonary resuscitation and first aid: 8 hours
The remaining hours may consist of additional coursework in the five content areas above or other massage therapy and wellness topics, for example, special populations, trigger points, safety, and communication.",yes,NA,yes,yes,yes,50,200,NA,1,NA,NA,NA,NA,NA,yes,yes,160,31,48169.64286,81255.42308,51049,2986530,38,58.1,1.5,0.4,0.9,0,2.9,628,10.60330414,22054.87261,752,44.42819149,92410.6383,240,18.24390244,37947.31707,215,9.689473684,20154.10526,726,15.78753444,32838.07163,669,12.46011211,25917.03318,221,15.07013575,31345.88235,672,12.42931548,25852.97619,658,17.8275076,37081.21581,271,23.34846866,48564.81481,298,64.90384615,135000,809,35.22845488,82978.28207,271,11.593361,48564.81481,52,27.5,57200,618,NA,NA,290,17.47321429,36344.28571,332,18.90766551,39327.94425,650,62.73056923,161748.0615,55,20,41600,40,20,41600,835,361,898,759,872,780,856,1403,301,162,927.4713376,1132.560748,989.0509554
MO,Missouri,No,yes,NA,yes,yes,NA,NA,"500; 300 hours are to be devoted to the theory and practice of massage therapy. At least 100 hours are to be in anatomy and physiology. The curriculum must also include 50 hours in the combined areas of business practice, hygiene, ethics, and Missouri massage law. Another 50 hours are to cover ancillary therapies; CPR training is included in this content strand.",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,572,31.27185315,43106.28743,143279.2182,54478,6126452,11.5,82.2,2.8,0.5,2,0.1,4.1,740,11.92991085,24814.21456,759,44.99604743,93591.77866,472,46.12847966,95947.23769,519,14.28805395,29719.15222,801,18.02801498,37498.27116,738,16.79420732,34931.95122,546,17.83882784,37104.7619,741,16.62526991,34580.5614,670,22.02238806,45806.56716,581,21.9481933,45652.24206,586,51.32994568,106766.287,813,28.3903198,82388.93481,581,16.91651463,45652.24206,375,26.56896552,55263.44828,689,40.37868151,83987.65753,603,25.76160862,53584.14594,432,24.98634106,51971.5894,774,53.95012274,115647.0969,273,16.76712329,34875.61644,210,15,31200,1417,698,1387,1218,1276,1271,1280,1502,1064,353,1276.54519,1928.351449,1515.125364
MT,Montana,"Yes; by endoresement; Out-of-state massage therapists can be licensed by credential if it is determined that they hold an equivalent license.
The licensing agency reports that the following states have been reviewed and found eligible for license by credential: Florida, Georgia, Idaho, Kentucky, Nebraska, New Hampshire, New York, New Mexico, North Dakota, Ohio, South Dakota, Utah, and Washington (bsd.dli.mt.gov/license / lmt board). Additional states may be added to the list following review.

Out-of-state licensees will find a “license by credential” application on the Board website (bsd.dli.mt.gov/license / bsd_boards). They should be prepared to provide a copy of the statutes and rules that govern licensure in the other state.

The out-of-state license must be in good standing. A license verification form is included in the application packet. The massage therapist will fill out the top portion and send it to the state of licensure.

Applicants for license by credential will need to provide two character references as well as documentation of age and documentation of high school completion (or equivalency).

If the other state’s statutes and rules to do not establish equivalency, the licensing agency may request additional information from the applicant.",yes,NA,NA,NA,NA,NA,"500; 125 hours of instruction in body systems (anatomy, physiology, kinesiology); 200 hours of instruction in massage and bodywork theory, application, and assessment; 40 hours in pathology; ten hours in ethics and business (with no fewer than six hours in ethics).",yes,NA,yes,yes,yes,140,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,35,30.35714286,NA,240545.8696,55328,1062305,0.5,88.6,3.1,6.4,0.8,0.1,3.9,489,11.82348643,24592.85177,762,48.74671916,101393.1759,90,14,29120,75,13.66666667,28426.66667,664,18.18524096,37825.3012,462,13.24263676,27544.68446,135,18.57407407,38634.07407,602,14.6207309,30411.12027,439,15.41359909,32060.2861,145,19.23076923,40000,156,64.90384615,135000,780,51.52053205,114548.8139,145,13.98275862,40000,25,NA,NA,262,47.96788372,99773.19814,32,9,18720,524,18.78301556,39068.67237,628,71.36055732,154918.6863,20,NA,NA,30,NA,NA,662,253,828,253,369,569,341,2416,124,31,1428.888889,1908.076923,1532.777778
NE,Nebraska,"Yes; by endorsement; Massage therapists who hold licensing in other states are required to demonstrate a total of 1,000 hours of education and training but are allowed more leeway in how they meet the requirement. Educational hours do not have to be distributed in the manner usually required by the licensing agency (sos.ne.gov Rules Health and Human Services System pdf). The massage therapist can credit work experience toward education/ training requirements at a rate of 100 hours per year of full-time experience. The licensing agency will credit as many as 100 hours of education for continuing education pursued through organizations approved by the FSMTB or the NCBTMB. A semester credit of related college coursework can be credited as 15 hours.
An out-of-state massage therapist who does not yet meet Nebraska licensing requirements may be issued a temporary license that authorizes work under supervision.",yes,NA,NA,yes,yes,yes,"1000; The massage therapy student will need 100 hours in each of the following areas:
Anatomy
Physiology
Hygiene and Practical demonstration
Hydrotherapy
Pathology
Massage
Health service management",yes,NA,yes,yes,yes,110,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,123,33.99186992,47500,192748.9524,59566,1929268,4.7,86.4,3.1,1,2.4,0.1,11.1,512,11.45442383,23825.20156,747,42.86680054,89162.94511,225,28.40686275,59086.27451,164,12.25943396,25499.62264,744,18.52448925,38530.93763,481,14.35044248,29848.92035,210,15.6097561,32468.29268,683,13.74743777,28594.67057,525,15.53875969,32320.62016,173,19.15865385,39850,261,64.90384615,135000,824,38.29801578,88558.0583,173,14.20907738,39850,30,22.5,46800,313,32,66560,40,NA,NA,685,19.11138686,39751.68467,615,68.63074797,189704.2399,145,NA,NA,80,30,62400,714,329,606,611,532,510,529,1820,319,197,1102.759162,1466.075949,1255.536649
NV,Nevada,No,yes,NA,yes,yes,yes,yes,"550; One hundred twenty-five (125) hours of instruction in the body’s systems, including, without limitation, anatomy, physiology and kinesiology
Two hundred twenty (220) hours of instruction which is taken in a classroom setting with hands-on instruction in assessment, theory and application instruction, which must include not less than 80 hours in clinical instruction
Forty (40) hours of instruction in pathology
Twenty (20) hours of instruction in business
Twenty (20) hours of instruction in ethics and
One hundred twenty-five hours (125) of instruction in other courses of massage therapy in a classroom setting with hands-on instruction.",yes,NA,yes,yes,yes,185,295,NA,NA,NA,NA,NA,NA,NA,yes,yes,707,69.61881188,79762.37624,264014.6923,58646,3034392,9.2,63.4,5.1,1.5,8.2,0.6,29,748,12.66360294,26340.29412,753,47.57636122,98958.83134,538,39.95074349,83097.54647,592,16.36233108,34033.64865,779,15.76412067,32789.37099,742,16.18547844,33665.79515,544,16.72426471,34786.47059,747,24.88671352,51764.36412,705,25.15957447,52331.91489,593,19.05537579,39635.18164,231,64.90384615,135000,796,43.27418342,89198.6569,593,17.30796796,39635.18164,539,21,43680,586,47.42307692,98640,623,43.9117175,91336.37239,555,19.65765766,40887.92793,763,61.90039318,164004.4817,110,43,89440,30,NA,NA,1468,698,1514,1392,1429,1426,1476,1980,1141,671,1314.595777,1965.454701,1600.146305
NH,New Hampshire,No,NA,NA,NA,NA,NA,NA,750;,yes,NA,yes,yes,yes,110,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,423,26.80861244,46512.5641,227562.85,74991,1356458,1.7,92.4,2.2,0.3,2.7,0,3.9,701,11.90674037,24766.01997,768,50.45442708,104945.2083,399,48,99840,573,14.968,31133.44,802,18.35162095,38171.37157,735,15.88537415,33041.57823,443,15.25342466,31727.12329,735,18.54995918,38583.9151,672,21.6484375,45028.75,342,24.38498421,50720.76715,469,65.7559558,136772.3881,839,39.09266985,90684.43325,342,16.73567251,50720.76715,120,40,83200,717,43.21599402,89889.26756,412,23.17468944,48203.35404,214,23.67708333,49248.33333,767,50.83311604,146211.7489,150,36,74880,160,NA,NA,1043,405,1219,923,992,1116,932,1402,534,50,1881.934783,2578.214286,2081.815217
NJ,New Jersey,Yes; by Endorsement a massage therapist can also be licensed on the basis of current credentialing in another U.S. state; the other state must have educational requirements that are at least substantially similar to those of New Jersey. A candidate for license by endorsement will need to request credential verification from each U.S. jurisdiction where he or she has ever held licensure or certification.,yes,NA,yes,yes,yes,yes,"500; 90 hours of anatomy, physiology, pathophysiology
ethics and law
theory and practice
electives related to the practice of massage and bodywork therapy
and at least 100 hours of clinical practice under the supervision of a faculty member legally authorized to practice in the State in which the school exists. ",yes,NA,yes,yes,yes,120,NA,NA,1,NA,NA,NA,NA,yes,"yes; The course of study must be taken in a school accredited or approved by:

??the New Jersey Department of Education;
the New Jersey Department Labor and Workforce Development;
the New Jersey Commission on Higher Education;
or an agency of another state which substantially meets the requirements of the New Jersey Department of Education,
the New Jersey Department of Labor and Workforce Development; or
the New Jersey Commission on Higher Education.",yes,787,44.79364676,60852.21093,259979.7857,81740,8908520,13.6,66.9,2.8,0.2,9.7,0,20.6,769,13.37243173,27814.658,770,50.61948052,105288.5195,733,51.86152797,107871.9782,706,23.51487252,48910.93484,821,19.24710719,40033.98295,753,21.76759628,45276.60027,739,22.26387009,46308.8498,773,26.68838939,55511.84994,744,78.27620968,162814.5161,723,34.23267435,71203.96266,725,65.06065644,135326.1654,805,43.48695652,87496.47143,723,35.26694329,71203.96266,662,44.82302937,93231.90108,803,52.69551681,109606.675,793,37.14296974,77257.37705,360,20.64179104,42934.92537,788,53.63895939,204601.8604,590,31.68584071,65906.54867,602,19.91638514,41426.08108,1560,1411,1505,1502,1501,1504,1524,1514,1342,216,2764.933014,3838.598214,3002.700957
NM,New Mexico,"Yes; License by Credentials or endorsement
Massage therapists may be licensed by credential if they have met similar education and examination requirements in other jurisdictions; the requirements must be judged to be at least substantially equivalent to those of New Mexico (rld.state.nm.us / Massage Therapy Requirements and Continuing Education). ",yes,NA,yes,yes,NA,NA,"650; 165 hours of coursework in anatomy and physiology and other closely related disciplines. At least 40 of the required hours in this content strand are to be in pathology. Kinesiology is also to receive coverage.
At least 150 hours are to consist of massage therapy training; this is to include coverage of contraindications.
At least 75 hours are to be in content areas that the Board terms ""general instruction"". No fewer than 30 of the general instruction hours are to be in professional ethics. Also included in this content area are 1) first aid and 2) CPR/AED; the prospective massage therapist will need four hours in each. Hydrotherapy and business are both to receive coverage. Electives may be in any of the following: theory, hands-on modalities related to massage therapy, breathing and stretching, nutrition, herbology, homeopathy, and counseling. The student may also credit additional hours of anatomy and physiology or massage therapy. Up to 150 hours of practicum may be credited. Other elective topics may be credited, but will need Board approval.

Up to 150 hours of credit may be awarded for prior professional experience carried out under licensure or registration.",yes,NA,yes,yes,yes,75,125,NA,1,NA,NA,NA,2 years,NA,yes,yes,144,32.82945736,79573.64341,180789.5641,47169,2095428,2.2,76.4,3.2,9.6,1.6,0.1,49.1,585,10.28241758,21387.42857,770,53.43376623,111142.2338,130,19.23076923,40000,65,12.13076923,25232,648,16.12434414,33538.6358,615,15.75326829,32766.79805,130,14.05769231,29240,649,14.27193374,29685.62219,565,18.03539823,37513.62832,253,23.62747662,49145.15138,352,50.62308785,105296.0227,806,42.33157568,102936.7723,253,13.76459227,49145.15138,35,33.75,70200,534,31.68392857,65902.57143,60,NA,NA,475,19.94112903,41477.54839,680,70.69488235,211395.8382,135,NA,NA,95,NA,NA,767,305,850,739,640,697,648,1119,188,269,1079.60076,1485.5,1203.456274
NY,New York,No,NA,NA,NA,NA,NA,NA,"1000; 150 in clinic, rest as: Complete coursework in anatomy, physiology, neurology, myology or kinesiology, pathology, hygiene, first aid, CPR, infection control procedures, the chemical ingredients of products that are used and their effects, as well as the theory, technique and practice of both oriental and western massage/bodywork therapy.","yes; NY state exam too, semiannual dates jan 3noth and aug 27th, with applications due by Nov yesst and June yesst for respective exam dates",NA,yes,yes,yes,108; 35 for limited permit if cannot take NY exam within 1 year,NA,NA,1,NA,NA,NA,NA,NA,yes,Yes; semiannual NY state exam also needs to be passes,621,44.7549505,50542.67311,637718.6485,67844,19542209,15.7,63.3,3.3,0.4,8.5,0,19.2,701,14.24564907,29630.95007,766,46.90208877,97556.34465,439,52.48188406,109162.3188,665,20.98270677,43644.03008,818,19.62555012,40821.14425,769,21.86629389,45481.89129,585,23.63247863,49155.55556,767,24.53259452,51027.79661,701,65.9807418,137239.9429,719,29.1917524,60718.84498,631,61.88879073,128728.6847,828,43.65225845,83753.11836,719,28.47788595,60718.84498,335,43.57213115,90630.03279,755,49.57413509,103114.201,516,38.28972868,79642.63566,245,22.06382979,45892.76596,768,26.13216797,183365.8835,318,33.20462046,69065.61056,303,29.6796875,61733.75,1524,775,1507,1476,1501,1501,1481,1509,1075,253,2872.733607,3553.71875,3188.727459
NC,North Carolina,"Yes; by endorsement massage therapists seeking a license to practice in North Carolina may apply for a regular license process or through the licensure by endorsement process. The requirements are almost identical, as you can see in the application instructions and checklist.  See https://www.bmbt.org/mtpages/license_by_endorsement.html",yes,NA,NA,NA,NA,NA,"500; The program must be at least 24 weeks in length. The curriculum must contain the following content at a minimum:
200 hours in fundamental theory and practice of massage and bodywork therapy. At least 100 hours of this must be in the application of hands-on methods. Also included in this 200-hour requirement is client assessment skills, indications and contraindications of treatment, body mechanics, draping procedures, infection control, and history of massage and bodywork. 100 hours of anatomy and physiology related to the practice of massage therapy, including instruction of common pathologies
15 hours of professional ethics and North Carolina laws and rules for the practice of massage and bodywork therapy
15 hours of business management practices
20 hours of psychological concepts including therapeutic relationships, and professional communication skills
150 hours in other related courses such as adjunct modalities, specific applications, additional hands-on techniques, or in-depth study of anatomy and physiology.
An official massage therapy school transcript must be submitted direct",yes,NA,yes,yes,yes,20,150,100,NA,NA,NA,24/2 years. This includes a minimum of 3 hours of ethics. A maximum of 6 hours of distance learning and 8 hours of business management can be taken. ,2 years; every Dec 31st,NA,yes,yes,691,37.24113603,69455.7377,166565.931,53855,10383620,21.4,68.4,2.9,1.2,3,0.1,9.6,702,11.53913818,24001.40741,768,59.34244792,123432.2917,519,25.3215859,52668.89868,636,13.97484277,29067.67296,772,18.60416451,38696.66218,750,19.04154667,39606.41707,624,17.36538462,36120,737,15.64569199,32543.03935,724,29.1426105,60616.62983,605,18.09727583,37642.33373,659,55.06870112,114542.8983,843,36.74107355,76735.2331,605,15.9585124,37642.33373,412,21.19776119,44091.34328,727,55.33333333,115093.3333,597,27.56532663,57335.8794,415,17.5408642,36484.99753,765,34.42392157,155810.1142,311,22.5,46800,281,26.41601563,54945.3125,1449,486,1507,1282,1439,1394,1462,1522,744,765,1221.854497,1830.321375,1475.948413
ND,North Dakota,Yes; by endorsement,yes,NA,yes,yes,yes,NA,"750; 505 supervised, 245 unsupervised; the 505 supervised: anatomy/physiology/kinesiology 150, pathology 40, clinic 175, massage theory 130, CPR/first aid 10, the 245 unsupervised: business 50, clinical 75, other massage modality courses 120",Yes; and a state jurisprudence exam,NA,yes,yes,yes,150,NA,200,1,NA,NA,"24/2 years, with 10 online at most and the 14 remaining in class",2,NA,yes,yes,30,24,NA,160193.5,63837,760077,3.4,85.7,2.3,5.4,1.8,0,3.6,512,11.6187749,24167.05179,758,45.73416887,95127.07124,70,21.33333333,44373.33333,398,14.58785942,30342.7476,686,20.91633382,43505.97434,466,15.17102845,31555.73917,55,12.94444444,26924.44444,541,13.92177449,28957.29094,514,15.80544747,32875.33074,45,NA,NA,251,64.90384615,135000,792,44.39192551,108640.3605,45,17.5,NA,NA,NA,NA,321,45.27381295,94169.53094,70,NA,NA,548,22.70206767,47220.30075,621,103.8034622,153794.9109,25,16.5,34320,NA,NA,NA,832,259,687,369,315,369,321,1013,136,177,1007.267857,1197.118182,1083.622024
OH,Ohio,"Yes; by endorsement, if out of state licensed for last five years    https://med.ohio.gov/Apply/Massage-Therapist-MT",yes,NA,NA,NA,NA,NA,750;,yes,NA,yes,yes,yes,153.5,NA,100,NA,NA,NA,no,2,NA,yes,yes,603,38.52860697,44006.55022,102083.288,56111,11689442,12.4,81,3.1,0.2,2.3,0,3.9,726,12.43953168,25874.2259,763,42.96985583,89377.30013,531,31.31304825,65131.14035,588,14.68477509,30544.33218,812,21.45046182,44616.96059,739,15.09054804,31388.33992,590,16.37033898,34050.30508,766,16.49043081,34300.09608,711,24.08013361,50086.67792,592,20.9271348,43528.44039,490,59.33308732,123412.8216,844,36.0403436,73231.52844,592,15.58826014,43528.44039,268,22.46638655,46730.08403,735,36.69564924,76326.95042,468,33.17257683,68998.95981,301,25.66226994,53377.52147,782,104.7506394,172388.0946,207,28.15988372,58572.55814,290,32.22222222,67022.22222,1559,495,1507,1341,1452,1476,1422,1532,1083,404,1353.336709,1898.875758,1582.959494
OK,Oklahoma,Yes; by endorsement; 65 fee instead of 50 and proof of all other licenses in each state holding or had a massage therapy license ,yes,NA,NA,yes,yes,NA,500;,yes,NA,yes,yes,yes,NA,50; 65 for license by reciprocity,50,NA,NA,NA,16,2,yes,NA,yes,422,39.65776699,45000,109105.3529,51924,3943079,7.3,72.2,7.7,7.8,2.1,0.1,10.9,664,10.23945783,21298.07229,768,54.4921875,113343.75,399,16.9887218,35336.54135,355,15.47887324,32196.05634,723,15.4329184,32100.47026,655,13.01875,27079,467,14.41916488,29991.86296,698,13.82613897,28758.36905,617,18.39464344,38260.85835,480,21.63461538,45000,399,64.90384615,135000,819,32.94840049,81201.77167,480,15.05391489,45000,270,14.47826087,30114.78261,571,49.84677419,103681.2903,335,45.06349206,93732.06349,288,17.0256654,35413.38403,713,27.11760168,94378.05049,210,20.5,42640,235,19,39520,1195,464,1139,1058,1120,1076,1119,1400,793,365,915.3100559,1201.045296,1023.379888
OR,Oregon,"Yes; by endorsement, but $250 to review transcripts and had to be licensed out of state; The credentialing review and its additional $250 fee is only pertinent to those out of state applicants who have been legally practicing for many years and may not meet the traditional education requirement through certified class instruction. 
Upon completion of a credentialing review the Board may grant a license to applicants who are or have legally practiced massage and/or bodywork outside of the State of Oregon; after successful completion of the jurisprudence, and written examinations.
 
Official Transcripts or Certificates of Completion and Practical Work Experience must be documented on the Credentialing Review Application Addendum and Work Experience Verification Worksheet.
 
The applicant must provide transcripts for: 
200 Anatomy and Physiology, Pathology and Kinesiology hours /8 quarter credits/5.34 semester credits of this with 120 hours/4.8 quarter credits/3.2 semester credits minimum must be from certified class instruction with up to 80 contact hours of prior continuing education in subject areas may apply; and
300 hours/12 quarter credits/8 semester credits Massage Theory and Practical Application, Clinical Practice, Business Development, Sanitation, Communication and Ethics hours of this 140 hours/5.6 quarter credits/3.7 semester credits minimum must be from certified class instruction with up to 120 contact hours of prior continuing education in subject areas, up to 40 hours of practical work experience may apply, and;
125 hours/5 quarter credits/2.4 semester credits which may be in either Health Sciences, Massage or Bodywork Theory and practical application, Clinical Practice, Business Development, Communication, Ethics, Sanitation or Hydrotherapy. Of the 125 hours required, up to 75 contact hours of prior continuing education in subject areas may apply.
??",yes,NA,yes,yes,yes,NA,"625; The Board requires 625 hours/25 quarter credits/15.74 semester credits of education from an accredited or Department of Education approved school with the following:
The 625 hours/25 quarter credits/15.74 semester credits of education must include: 
A minimum of 200 hours/8 quarter credits/ 5.34 semester credits of health sciences, consisting of Anatomy and Physiology, Pathology, and Kinesiology; and 
A minimum of 300 hours/12 quarter credits/8 semester credits of Massage Theory and Practical Application, Clinical Practice, Business Development, Sanitation, Communication, and Ethics. 
The remaining 125 hours/5 quarter credits /2.4 semester credits required may be in any of the above subject areas",Yes; and a state jurisprudence exam,NA,4yes.5,yes,yes,100,"100 or 200 depends on birth year, odds renew again on odd years and evens renew on even years","100-200, odd birth years renew on odd years and even birth year renew on even years. If an applicant’s first renewal is less than 12 months from time of issuance, the Initial License Fee is $100.00. If the applicant’s first renewal is more than 12 months from date of issuance, the Initial License Fee is $200.00.",1,NA,3 moral character references,NA,NA,yes,yes,yes,418,36.40435835,84673.33333,364129.8103,63426,4190713,2,83.9,4.7,1.2,4.6,0.4,13.3,707,14.5518529,30267.85403,763,48.46788991,100813.211,418,35.58695652,74020.86957,430,17.86035294,37149.53412,802,21.36178304,44432.50873,742,17.84747305,37122.74394,367,18.41280654,38298.6376,740,19.14297297,39817.38378,661,24.43456884,50823.90318,482,17.77773714,36977.69325,440,52.93418051,110103.0955,838,39.50251193,105906.4268,482,19.35529046,36977.69325,377,42.13920455,87649.54545,616,38.51659751,80114.52282,371,20.78358726,43229.8615,443,22.71328271,47243.62804,734,50.69356948,170667.0995,276,36.47357724,75865.04065,215,15,31200,1433,805,1492,1010,1138,1412,1217,1506,804,332,1735.47678,2400.277372,2008.770898
