"city","state","wellness clinic_businessType","todaysDate"
"Hammond","IN","135. Medical Health Partners","Wed Jul 22 06:55:24 2020"
"Hammond","IN","136. Source Healing Inc","Wed Jul 22 06:55:24 2020"
"Hammond","IN","137. Archer Family Medical Group","Wed Jul 22 06:55:24 2020"
"Hammond","IN","138. Core Physical Therapy","Wed Jul 22 06:55:24 2020"
"Hammond","IN","139. Sports & Ortho Physical Therapy and Sports Medicine (Bridgeport)","Wed Jul 22 06:55:24 2020"
"Hammond","IN","140. Chicago Health Medical Group","Wed Jul 22 06:55:24 2020"
"Hammond","IN","141. Functional Therapy & Rehabilitation","Wed Jul 22 06:55:24 2020"
"Hammond","IN","142. Chicago Internal Cleansing","Wed Jul 22 06:55:24 2020"
"Hammond","IN","143. Flexeon Rehabilitation","Wed Jul 22 06:55:24 2020"
"Hammond","IN","144. Sports & Ortho","Wed Jul 22 06:55:24 2020"
"Hammond","IN","145. Henricsson Ulf Sports & Health","Wed Jul 22 06:55:24 2020"
"Hammond","IN","146. Chesterton Medical Campus of Porter","Wed Jul 22 06:55:24 2020"
"Hammond","IN","147. Midwest Chiropractic","Wed Jul 22 06:55:24 2020"
"Hammond","IN","148. Sportho Physical and Aquatic Therapy","Wed Jul 22 06:55:24 2020"
"Hammond","IN","149. Premier Physical Therapy","Wed Jul 22 06:55:24 2020"
"Hammond","IN","150. Sage Medical Group","Wed Jul 22 06:55:24 2020"
"Gary","IN","1. Munster Medical Acupuncture & Wellness Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","2. Munster Medical Acupuncture & Wellness Clinic - CLOSED","Wed Jul 22 06:55:36 2020"
"Gary","IN","3. Woman’s Wellness Center & Menopause Clinic PC","Wed Jul 22 06:55:36 2020"
"Gary","IN","4. Medical Health and Wellness Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","5. Green Circle Wellness Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","6. Radzik Wellness & Medical Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","7. Animal Wellness Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","8. Chicago Weight Loss & Wellness Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","9. Colon Clinic & Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","10. Total Wellness Chiropractic Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","11. Edgewater Wellness Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","12. Housecall Doctors P.C.","Wed Jul 22 06:55:36 2020"
"Gary","IN","13. Total Wellness Connection","Wed Jul 22 06:55:36 2020"
"Gary","IN","14. Griffith Health and Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","15. Family Health and Wellness Centre","Wed Jul 22 06:55:36 2020"
"Gary","IN","16. Northwest Indiana Occupational Pain & Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","17. Working Well Group At Fph Location","Wed Jul 22 06:55:36 2020"
"Gary","IN","18. PhysioPoint Therapy & Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","19. Woman's Wellness Network","Wed Jul 22 06:55:36 2020"
"Gary","IN","20. Abraham's Mark Comprehensive Wellness Center: Nicole King, MD","Wed Jul 22 06:55:36 2020"
"Gary","IN","21. Nazon Medical Corporation & Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","22. Dejean Wellness Inc","Wed Jul 22 06:55:36 2020"
"Gary","IN","23. Ashland Dental and Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","24. Porter County Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","25. Healthier Shape Wellness: Rita Oganwu MD","Wed Jul 22 06:55:36 2020"
"Gary","IN","26. Center For Adults & Pediatric Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","27. Bear Fruits Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","28. Allison Wellness Ctr","Wed Jul 22 06:55:36 2020"
"Gary","IN","29. Valparaiso Health & Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","30. Health Is Wealth Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","31. Chiropractic & Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","32. Rjb Medical Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","33. Bridgeport Neck & Back Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","34. Chiro-Med Health & Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","35. Working Well Regional Occupational Health","Wed Jul 22 06:55:36 2020"
"Gary","IN","36. Equilibrium Health & Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","37. Well Ahead Health Solutions","Wed Jul 22 06:55:36 2020"
"Gary","IN","38. Nmpg Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","39. Chicago Health and Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","40. Rush Nutrition & Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","41. Axon Physical Therapy & Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","42. Longevity Wellness & Anti-Aging Institute","Wed Jul 22 06:55:36 2020"
"Gary","IN","43. Millennium Wellness Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","44. Chiro Med Health & Wellness Centers","Wed Jul 22 06:55:36 2020"
"Gary","IN","45. Center for Wellness Weight Management","Wed Jul 22 06:55:36 2020"
"Gary","IN","46. Back In Action Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","47. Chiropractic & Wellness Center Of La Grange","Wed Jul 22 06:55:36 2020"
"Gary","IN","48. Chicago Pediatric Therapy & Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","49. Wellness Associates of Chicago","Wed Jul 22 06:55:36 2020"
"Gary","IN","50. Pt Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","51. Pilsen Wellness Toys","Wed Jul 22 06:55:36 2020"
"Gary","IN","52. Mobile Health & Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","53. Pcc Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","54. Comprehensive Wellness Care","Wed Jul 22 06:55:36 2020"
"Gary","IN","55. Effortless Wellness Studio","Wed Jul 22 06:55:36 2020"
"Gary","IN","56. A One Wellness Studio Inc","Wed Jul 22 06:55:36 2020"
"Gary","IN","57. Nikken Wellness Products","Wed Jul 22 06:55:36 2020"
"Gary","IN","58. Family Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","59. Balance Health And Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","60. Advantage Health & Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","61. Balancing Point Center For Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","62. Nikken Wellness Conslnt","Wed Jul 22 06:55:36 2020"
"Gary","IN","63. Wellness Personalized Healthcare","Wed Jul 22 06:55:36 2020"
"Gary","IN","64. Bear Fruits Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","65. Art & Science Of Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","66. Light Touch Wellness","Wed Jul 22 06:55:36 2020"
"Gary","IN","67. Integrative Wellness Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","68. Taylor Rehabilitation and Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","69. Integrated Care and Wellness Medical Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","70. Well Integrative Family Medicine","Wed Jul 22 06:55:36 2020"
"Gary","IN","71. Wellness Healthcare Partners","Wed Jul 22 06:55:36 2020"
"Gary","IN","72. Ravenswood Chiropractic & Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","73. Taylor Rehab & Wellness ( We do not accept Medicaid)","Wed Jul 22 06:55:36 2020"
"Gary","IN","74. Lincoln Health & Wellness Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","75. Working Well Occupational Health - CLOSED","Wed Jul 22 06:55:36 2020"
"Gary","IN","76. Wellness Institute Inc - CLOSED","Wed Jul 22 06:55:36 2020"
"Gary","IN","77. Be Well Partners In HealthMOVED","Wed Jul 22 06:55:36 2020"
"Gary","IN","78. Interchange Medical Wellness Center - CLOSED","Wed Jul 22 06:55:36 2020"
"Gary","IN","79. Family Wellness - CLOSED","Wed Jul 22 06:55:36 2020"
"Gary","IN","80. Associated Backache Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","81. Lansing Chiropractic Clinic, Ltd.","Wed Jul 22 06:55:36 2020"
"Gary","IN","82. Chesterton After Hours Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","83. Norberg Chiropractic Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","84. Healthworks Integrative Medical Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","85. Integrative Medical Pain Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","86. Cortiva Massage Therapy Clinic/vernon","Wed Jul 22 06:55:36 2020"
"Gary","IN","87. Cecil Chiropractic Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","88. Lakeview Specialty Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","89. Brannick Clinic-Natrl Mdcn","Wed Jul 22 06:55:36 2020"
"Gary","IN","90. Chicago Acupuncture Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","91. Family Clinic","Wed Jul 22 06:55:36 2020"
"Gary","IN","92. Heart In Hand, L.L.C.","Wed Jul 22 06:55:36 2020"
"Gary","IN","93. Integrative Health, Inc.","Wed Jul 22 06:55:36 2020"
"Gary","IN","94. Indiana Medical Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","95. Rani Holistic Hea","Wed Jul 22 06:55:36 2020"
"Gary","IN","96. Unwind No Selection","Wed Jul 22 06:55:36 2020"
"Gary","IN","97. Advanced Reproductive Health","Wed Jul 22 06:55:36 2020"
"Gary","IN","98. Lake County Medical Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","99. Healthsource","Wed Jul 22 06:55:36 2020"
"Gary","IN","100. Health Source Chiropractic","Wed Jul 22 06:55:36 2020"
"Gary","IN","101. Indiana Medical Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","102. Chesterton Medical Campus of Porter","Wed Jul 22 06:55:36 2020"
"Gary","IN","103. Advocate Medical Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","104. Health 1st Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","105. Daniel Joseph Sweeney","Wed Jul 22 06:55:36 2020"
"Gary","IN","106. Sports & Ortho Physical Therapy and Sports Medicine (Bridgeport)","Wed Jul 22 06:55:36 2020"
"Gary","IN","107. Premier Physical Therapy","Wed Jul 22 06:55:36 2020"
"Gary","IN","108. Advocate Medical Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","109. Bridgeport Pain Control","Wed Jul 22 06:55:36 2020"
"Gary","IN","110. Banuelos Michael G","Wed Jul 22 06:55:36 2020"
"Gary","IN","111. Physical Therapy & Spine","Wed Jul 22 06:55:36 2020"
"Gary","IN","112. Medical Health Partners","Wed Jul 22 06:55:36 2020"
"Gary","IN","113. Source Healing Inc","Wed Jul 22 06:55:36 2020"
"Gary","IN","114. Archer Family Medical Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","115. Core Physical Therapy","Wed Jul 22 06:55:36 2020"
"Gary","IN","116. Pulling Down The Moon","Wed Jul 22 06:55:36 2020"
"Gary","IN","117. Chicago Internal Cleansing","Wed Jul 22 06:55:36 2020"
"Gary","IN","118. Chicago Health Medical Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","119. Ruhe Chiropractic Health Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","120. Wholistic Therapeutics","Wed Jul 22 06:55:36 2020"
"Gary","IN","121. Flexeon Rehabilitation","Wed Jul 22 06:55:36 2020"
"Gary","IN","122. Sports & Ortho","Wed Jul 22 06:55:36 2020"
"Gary","IN","123. Henricsson Ulf Sports & Health","Wed Jul 22 06:55:36 2020"
"Gary","IN","124. Stratton Scott","Wed Jul 22 06:55:36 2020"
"Gary","IN","125. Medcall Healthcare","Wed Jul 22 06:55:36 2020"
"Gary","IN","126. Integrated Health Solutions","Wed Jul 22 06:55:36 2020"
"Gary","IN","127. Premier Physical Therapy","Wed Jul 22 06:55:36 2020"
"Gary","IN","128. Sage Medical Group","Wed Jul 22 06:55:36 2020"
"Gary","IN","129. Physio Partners","Wed Jul 22 06:55:36 2020"
"Gary","IN","130. Chicago Chiropractic & Sports Injury Centers","Wed Jul 22 06:55:36 2020"
"Gary","IN","131. Midwest Chiropractic","Wed Jul 22 06:55:36 2020"
"Gary","IN","132. Sportho Physical and Aquatic Therapy","Wed Jul 22 06:55:36 2020"
"Gary","IN","133. American Back Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","134. Naturopathic Physician","Wed Jul 22 06:55:36 2020"
"Gary","IN","135. Back Home Chiropractic","Wed Jul 22 06:55:36 2020"
"Gary","IN","136. AMITA Health Medical Group Family Medicine Riverside","Wed Jul 22 06:55:36 2020"
"Gary","IN","137. AMITA Health Medical Group Internal Medicine Countryside","Wed Jul 22 06:55:36 2020"
"Gary","IN","138. Functional Therapy & Rehabilitation","Wed Jul 22 06:55:36 2020"
"Gary","IN","139. Louise Landau Health Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","140. Sovereign Rehabilitation","Wed Jul 22 06:55:36 2020"
"Gary","IN","141. Triad Healthpractice","Wed Jul 22 06:55:36 2020"
"Gary","IN","142. Chicago Colon Hydrotherapy","Wed Jul 22 06:55:36 2020"
"Gary","IN","143. Sun Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","144. Chicago Rehabilitation Services Inc","Wed Jul 22 06:55:36 2020"
"Gary","IN","145. ACCESS Hawthorne Family Health Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","146. Leavitt Healthcare & Dgnstcs","Wed Jul 22 06:55:36 2020"
"Gary","IN","147. Core Chiropractic Health Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","148. Rapacz Naprapathic Center","Wed Jul 22 06:55:36 2020"
"Gary","IN","149. Chicago Health & Physical Therapy","Wed Jul 22 06:55:36 2020"
"Gary","IN","150. Advocate Medical Group","Wed Jul 22 06:55:36 2020"
"Lafayette","IN","1. Well Baby Clinic","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","2. Sia Health & Wellness","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","3. Men's T Clinic","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","4. WellBound Lafayette","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","5. Benton Health & Wellness","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","6. Family Health Clinic Monon","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","7. Global Heal Chiropractic","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","8. Healistic Healthcare","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","9. Innovative Medicine","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","10. Dr Forsythe Cancer Care Center","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","11. Wagner Chiropractic Center","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","12. Nutritional & Wellness Complex","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","13. Olson, Rob M","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","14. Lori Winger DC","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","15. Dr. John S Wagner, DC","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","16. Midwest Family Chiropractic Drsteven Webb","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","17. Williams, Susan, DC","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","18. Winger Chiropractic PC","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","19. Jerry Markley DC","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","20. Koch Kenneth","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","21. Pacelli Anthony J Dc","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","22. Dr. Roger J Rodibaugh, DC","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","23. Clark Chiropractic Care","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","24. Pacelli Chiropractic & Health Potential Complex","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","25. Dr. Christopher Pestle, DC","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","26. Scott A Molin DC Faco","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","27. South Point Clinic of Chiro","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","28. Dr. Steve Webb D.C.","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","29. AmeriPlan","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","30. Walters, Chelsey, DC","Wed Jul 22 06:55:48 2020"
"Lafayette","IN","1. Well Baby Clinic","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","2. Sia Health & Wellness","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","3. Men's T Clinic","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","4. WellBound Lafayette","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","5. Benton Health & Wellness","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","6. Family Health Clinic Monon","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","7. Global Heal Chiropractic","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","8. Healistic Healthcare","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","9. Innovative Medicine","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","10. Dr Forsythe Cancer Care Center","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","11. Wagner Chiropractic Center","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","12. Nutritional & Wellness Complex","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","13. Olson, Rob M","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","14. Lori Winger DC","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","15. Dr. John S Wagner, DC","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","16. Midwest Family Chiropractic Drsteven Webb","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","17. Williams, Susan, DC","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","18. Winger Chiropractic PC","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","19. Jerry Markley DC","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","20. Koch Kenneth","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","21. Pacelli Anthony J Dc","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","22. Dr. Roger J Rodibaugh, DC","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","23. Clark Chiropractic Care","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","24. Pacelli Chiropractic & Health Potential Complex","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","25. Dr. Christopher Pestle, DC","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","26. Scott A Molin DC Faco","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","27. South Point Clinic of Chiro","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","28. Dr. Steve Webb D.C.","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","29. AmeriPlan","Wed Jul 22 06:58:37 2020"
"Lafayette","IN","30. Walters, Chelsey, DC","Wed Jul 22 06:58:37 2020"
"Des Moines","IA","1. Chiropractic Health & Wellness Clinic","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","2. Global Wellness Chiropractic Clinic","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","3. Cassady Pharmacy","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","4. New Leaf Wellness","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","5. Balance Chiropractic & Wellness","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","6. Gilbert Wellness Center","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","7. Wellness Enterprises","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","8. Bodhi Acupuncture and Wellness of Des Moines","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","9. Bluebird Integrative Health PLLC","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","10. Iowa Methodist Occupational Health & Wellness","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","11. Thiele Chiropractic & Wellness","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","12. Maplewood Wellness Center","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","13. Waukee Wellness & Chiropractic","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","14. Mary Greeley Rehab & Wellness","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","15. Johnston Chiropractic Clinic","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","16. Lowe Chiropractic Clinic","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","17. Bridges Chiropractic Clinic","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","18. Advanced Spine Health Center","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","19. Revive Chiropractic","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","20. Ballenger Chiropractic and Acupuncture","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","21. Dr. Rod Rebarcak, DC","Wed Jul 22 06:58:47 2020"
"Des Moines","IA","22. Dr Forsythe Cancer Care Center","Wed Jul 22 06:58:47 2020"
"Cedar Rapids","IA","1. Wholistic Wellness Clinic PC","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","2. Wholistic Wellness Clinic PC","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","3. Unitypoint Health Work Well-Occupational Medicine Clinic","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","4. Jenkins Chiropractic","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","5. ReNu Your Life Fitness & Parkinson's Wellness","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","6. Brown Chiropractic Clinic","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","7. Chiropractic Clinic of Iowa","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","8. Integrative Health and Hormone Clinic","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","9. Ahn Clinic Medical Acupuncture","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","10. Wickwire Chiropractic and Wellness Center","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","11. Wapsi Chiropractic & Acupuncture Clinic","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","12. Aspen Therapy & Wellness Center","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","13. New Leaf Wellness","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","14. Clinic Eight Iowa City Acupuncture","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","15. Genesis Wellness","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","16. Cedar Chiropractic and Acupuncture Clinic, Inc. - Dr. Lindsey Weers Austin","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","17. Soma Health Center","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","18. Spinal Corrective Center PC","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","19. Cummings Family Chiropractic","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","20. Family Medicine and More","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","21. Fairfax Chiropractic Center","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","22. City Chiropractic Dr Jason Wall","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","23. Bowman Chiropractic Assoc PC","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","24. Corridor Care Management","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","25. Prismsscape","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","26. Eastwind Healing Center","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","27. Kristine Jameson","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","28. Joyce McKinley Lmt","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","29. Prisms Scape","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","30. Agapé Family Chiropractic & Laser Center","Wed Jul 22 06:58:58 2020"
"Cedar Rapids","IA","31. Dr Forsythe Cancer Care Center","Wed Jul 22 06:58:58 2020"
"Davenport","IA","1. Balance & Motion Wellness Clinic","Wed Jul 22 06:59:10 2020"
"Davenport","IA","2. Orion Chiropractic Clinic & Wellness Center - CLOSED","Wed Jul 22 06:59:10 2020"
"Davenport","IA","3. Balance & Motion Wellness Clinic LLC","Wed Jul 22 06:59:10 2020"
"Davenport","IA","4. RN Therapeutics Holistic Health & Wellness Clinic","Wed Jul 22 06:59:10 2020"
"Davenport","IA","5. Star Flower Clinic & Wellness","Wed Jul 22 06:59:10 2020"
"Davenport","IA","6. RN Therapeutics Holistic Health & Wellness Clinic - CLOSED","Wed Jul 22 06:59:10 2020"
"Davenport","IA","7. Harbor View Health and Wellness","Wed Jul 22 06:59:10 2020"
"Davenport","IA","8. Realm Wellness Spa","Wed Jul 22 06:59:10 2020"
"Davenport","IA","9. Quad Cities Health & Wellness","Wed Jul 22 06:59:10 2020"
"Davenport","IA","10. Quad City Wellness & Rehab Ltd","Wed Jul 22 06:59:10 2020"
"Davenport","IA","11. QC Wellness Centers","Wed Jul 22 06:59:10 2020"
"Davenport","IA","12. Genesis Integrative Wellness Center","Wed Jul 22 06:59:10 2020"
"Davenport","IA","13. Eden Chiropractic Wellness Center","Wed Jul 22 06:59:10 2020"
"Davenport","IA","14. Maximum Wellness Center","Wed Jul 22 06:59:10 2020"
"Davenport","IA","15. Alternative Wellness and Chiropractic Center","Wed Jul 22 06:59:10 2020"
"Davenport","IA","16. Birdsell Chiropractic & Acupuncture Clinic","Wed Jul 22 06:59:10 2020"
"Davenport","IA","17. Centered Therapies","Wed Jul 22 06:59:10 2020"
"Davenport","IA","18. Weiss Family Chiropractic","Wed Jul 22 06:59:10 2020"
"Davenport","IA","19. Quad City Physical Therapy & Spine","Wed Jul 22 06:59:10 2020"
"Davenport","IA","20. Midwest Therapy Centers","Wed Jul 22 06:59:10 2020"
"Davenport","IA","21. Hybrid Medical Group","Wed Jul 22 06:59:10 2020"
"Davenport","IA","22. Natural Solutions for Health and Longevity","Wed Jul 22 06:59:10 2020"
"Davenport","IA","23. Bobb Chiropractic Center","Wed Jul 22 06:59:10 2020"
"Davenport","IA","24. Christian Health Care","Wed Jul 22 06:59:10 2020"
"Davenport","IA","25. Back to Health Chiropractic","Wed Jul 22 06:59:10 2020"
"Davenport","IA","26. Chiropractic Health Care Center","Wed Jul 22 06:59:10 2020"
"Davenport","IA","27. Dr Forsythe Cancer Care Center","Wed Jul 22 06:59:10 2020"
"Sioux City","IA","1. Impact Physical Therapy and Wellness","Wed Jul 22 06:59:20 2020"
"Sioux City","IA","2. Family Wellness Associates","Wed Jul 22 06:59:20 2020"
"Sioux City","IA","3. Maier Family Pharmacy","Wed Jul 22 06:59:20 2020"
"Sioux City","IA","4. The BAC Clinic Of Chiropractic & Spine Rehabilitation","Wed Jul 22 06:59:20 2020"
"Sioux City","IA","5. Tri-State Physicians and Physical Therapy Clinic","Wed Jul 22 06:59:20 2020"
"Sioux City","IA","6. Campbell Chiropractic Clinic PC","Wed Jul 22 06:59:20 2020"
"Sioux City","IA","7. Dr Forsythe Cancer Care Center","Wed Jul 22 06:59:20 2020"
"Sioux City","IA","8. Multicare Health Clinic","Wed Jul 22 06:59:20 2020"
