stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,server_jobsListed,server_avgHourly,server_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,teacher_jobsListed,teacher_avgHourly,teacher_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,yogaInstructor jobsListed,yogaInstructor avgHourly,yogaInstructor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
MA,Massachusetts,NA,yes,NA,yes,NA,NA,NA,"550; 100 anatomy, 45 kinesiology, 45 pathology, 300 massage theory/practice, 60 ethics/professionalism, 100 intern/hands on training",NA,NA,yes,yes,yes,225,NA,NA,NA,6 weeks,1,NA,NA,yes,yes,768,38.01171875,50915.03725,537437.7534,79835,6902149,7.8,77.3,3.4,0.2,6.8,0,12.3,725,15.78344828,32829.57241,766,17.42101828,36235.71802,684,44.27631579,92094.73684,652,19.09259969,39712.60736,825,18.05923636,37563.21164,635,16.30610236,33916.69291,550,22.49727273,46794.32727,786,22.15601781,46084.51705,743,42.1140646,87597.25437,808,20.69419983,43043.93564,703,58.89997538,122511.9488,827,37.84033857,104496.5121,722,25.73898892,69084.83864,385,19.74344023,41066.35569,778,59.96015424,124717.1208,660,36.82424242,76594.42424,307,26.65798046,55448.59935,788,31.46546954,97209.15466,448,59.37037037,123490.3704,493,60.13213531,125074.8414,1542,1113,1512,1476,1500,1500,1521,3043,1598,243,3270.330508,5239.152542,4020.690678
MI,Michigan,NA,NA,NA,NA,NA,NA,NA,"500; 200 massage practice/theory, 125 body systems/anatomy/kinesiology, 40 pathology, 6 ethics, 4 business, 40 intern",yes,NA,yes,yes,yes,95,NA,NA,NA,NA,NA,NA,NA,NA,yes,689,45.44481132,54245.43947,107764.5833,56697,9995915,13.8,78.3,2.9,0.5,3.3,0,5.2,763,12.85901048,26746.74181,792,17.00470328,35369.78283,563,32.87598425,68382.04724,645,18.08217054,37610.91473,772,19.72642487,41030.96373,621,15.06475845,31334.69758,420,15.17261905,31559.04762,776,18.20009021,37856.18763,658,21.16889831,44031.30847,773,22.13036745,46031.16429,551,33.65384615,70000,826,39.72371065,83130.9885,598,16.24749164,71654.29559,570,45.95430108,95584.94624,711,35.72429907,74306.54206,581,32.68476357,67984.30823,372,27.08038147,56327.19346,761,25.40361367,175202.9435,455,59.13614458,123003.1807,365,53.61643836,111522.1918,1601,1063,1515,1426,1499,1458,1433,3022,1130,261,1459.749004,1945.299517,1663.611554
MN,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,34.00250417,76209.59596,252568.0408,70315,5611179,6.6,82.5,3.1,1.1,4.9,0,5.5,751,13.17262317,27399.05619,745,14.36248322,29873.9651,539,37.14744802,77266.69187,613,15.76053068,32781.90381,802,17.13105362,35632.59152,630,16.47801587,34274.27302,537,20.59310987,42833.66853,783,20.34583014,42319.32669,757,28.78467057,59872.11479,788,28.25027669,58760.57551,559,33.65384615,70000,833,41.69232893,102836.3109,563,21.23066298,82245.0365,608,28.18656716,58628.0597,670,53.37996546,111030.3282,607,81.77973199,170101.8425,443,26.19356659,54482.61851,773,105.5212419,77902.44373,519,56.67315175,117880.1556,485,57.54123711,119685.7732,1542,1262,1415,1257,1302,1343,1328,2286,1165,233,1919.22467,2928.74359,2347.035242
MS,Mississippi,"yes by endorsement; An out-of-state massage therapist can be licensed by reciprocity with as few as 500 in-class hours of academic instruction, provided he or she has the requisite qualifications, including experience. Reciprocity candidates must have three years of experience; this requirement is the same whether the massage therapist comes from a regulated or unregulated state.
",yes,NA,yes,NA,NA,NA,"700; 600 academic, 100 clinic, The instructional hours are to be distributed as follows:

Study of the human body is to comprise at least 200 hours. There must be at least 20 hours devoted to each of the following: anatomy, physiology, neurology, myology/ kinesiology, and pathology; pathology coursework is to include medical terminology. The other 100 hours of body systems study may be distributed among the required content areas in any manner.

Massage therapy theory and practicum are together to comprise at least 200 hours. At least 100 of these hours are to consist of demonstration and supervised practice; demonstration and practice is to include client evaluation, draping, and range-of-motion as well as specific massage techniques identified by the Board, for example, kneading, stroking, percussion, vibration, and use of hand-held tools. At least 20 combined hours are to cover massage therapy history, indications, contraindications and benefits. Also included in this content area are 10 hours of study in legality and ethics; this is to include Mississippi massage therapy law.

Allied modalities are to comprise at least 200 hours. The following content must be included:

Eastern, Western, and European methods: 7 hours
Hydrotherapy and infrared heat: 25 hours
Healthcare referral: 20 hours
Charting and documentation: 10 hours
Cardiopulmonary resuscitation and first aid: 8 hours
The remaining hours may consist of additional coursework in the five content areas above or other massage therapy and wellness topics, for example, special populations, trigger points, safety, and communication.",yes,NA,yes,yes,yes,50,200,NA,1,NA,NA,NA,NA,NA,yes,123,33.5,48508.51852,81255.42308,51049,2986530,38,58.1,1.5,0.4,0.9,0,2.9,616,10.25466721,21329.70779,647,9.684686495,20144.14791,230,22.36363636,46516.36364,216,11.28125,23465,706,12.92926346,26892.86799,560,11.07125,23028.2,185,11.27027027,23442.16216,722,15.13019391,31470.80332,535,19.25167112,40043.47594,676,24.36818378,50685.82227,98,34.36884822,71487.2043,814,39.06695332,98049.87961,279,11.92277992,82156.66023,71,27.5,57200,593,NA,NA,318,17.17694805,35728.05195,137,31.5,65520,701,30.49410842,169494.475,120,16.76086957,34862.6087,53,22.97826087,47794.78261,835,361,898,759,872,780,856,1403,301,155,917.8053691,1103.480392,973.4328859
MO,Missouri,NA,yes,NA,yes,yes,NA,NA,"500; 300 hours are to be devoted to the theory and practice of massage therapy. At least 100 hours are to be in anatomy and physiology. The curriculum must also include 50 hours in the combined areas of business practice, hygiene, ethics, and Missouri massage law. Another 50 hours are to cover ancillary therapies; CPR training is included in this content strand.",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,yes,yes,591,33.5998308,42328.57843,143279.2182,54478,6126452,11.5,82.2,2.8,0.5,2,0.1,4.1,719,12.37988178,25750.1541,753,17.06911765,35503.76471,482,29.39724576,61146.27119,526,14.79776616,30779.35361,770,16.79016234,34923.53766,607,14.69378089,30563.06425,403,15.01861042,31238.70968,764,18.12240838,37694.60942,646,22.2885906,46360.26846,762,21.44618571,44608.06627,547,38.52938103,80141.11255,806,33.2005273,111130.4448,546,17.70280961,62226.22222,384,85.22460938,177267.1875,714,38.33203125,79730.625,579,24.85967185,51708.11744,381,29.78167116,61945.87601,740,64.24915541,112166.4649,369,55.21469741,114846.5706,245,61.44736842,127810.5263,1417,698,1387,1218,1276,1271,1280,1502,1064,362,1266.301136,4780.076389,2683.806818
MT,Montana,"Yes by endoresement; Out-of-state massage therapists can be licensed by credential if it is determined that they hold an equivalent license.

The licensing agency reports that the following states have been reviewed and found eligible for license by credential: Florida, Georgia, Idaho, Kentucky, Nebraska, New Hampshire, New York, New Mexico, North Dakota, Ohio, South Dakota, Utah, and Washington (bsd.dli.mt.gov/license / lmt board). Additional states may be added to the list following review.

Out-of-state licensees will find a “license by credential” application on the Board website (bsd.dli.mt.gov/license / bsd_boards). They should be prepared to provide a copy of the statutes and rules that govern licensure in the other state.

The out-of-state license must be in good standing. A license verification form is included in the application packet. The massage therapist will fill out the top portion and send it to the state of licensure.

Applicants for license by credential will need to provide two character references as well as documentation of age and documentation of high school completion (or equivalency).

If the other state’s statutes and rules to do not establish equivalency, the licensing agency may request additional information from the applicant.",yes,NA,NA,NA,NA,NA,"500; 125 hours of instruction in body systems (anatomy, physiology, kinesiology); 200 hours of instruction in massage and bodywork theory, application, and assessment; 40 hours in pathology; ten hours in ethics and business (with no fewer than six hours in ethics).",yes,NA,yes,yes,yes,140,NA,NA,NA,NA,NA,NA,NA,NA,yes,40,28.3125,NA,240545.8696,55328,1062305,0.5,88.6,3.1,6.4,0.8,0.1,3.9,515,12.06133721,25087.5814,450,9.828181818,20442.61818,85,14.83333333,30853.33333,48,14.38372093,29918.13953,564,14.68758865,30550.1844,402,14.05626866,29237.03881,50,15.05,31304,718,18.15018106,37752.3766,408,30,62400,596,24.75109383,51482.27517,71,33.65384615,70000,787,40.81857687,87594.56925,124,15.61357143,56010.6383,101,22.37974684,46549.87342,302,37.89217791,78815.73006,30,9,18720,88,26.90090361,55953.87952,655,29.50043511,173506.7176,45,62.5,130000,32,62.5,130000,662,253,828,253,369,569,341,2416,124,33,1331.071429,1642.909091,1382.357143
NE,Nebraska,"yes by endorsement; Massage therapists who hold licensing in other states are required to demonstrate a total of 1,000 hours of education and training but are allowed more leeway in how they meet the requirement. Educational hours do not have to be distributed in the manner usually required by the licensing agency (sos.ne.gov Rules Health and Human Services System pdf). The massage therapist can credit work experience toward education/ training requirements at a rate of 100 hours per year of full-time experience. The licensing agency will credit as many as 100 hours of education for continuing education pursued through organizations approved by the FSMTB or the NCBTMB. A semester credit of related college coursework can be credited as 15 hours.

An out-of-state massage therapist who does not yet meet Nebraska licensing requirements may be issued a temporary license that authorizes work under supervision.",yes,NA,NA,yes,yes,yes,"1000; The massage therapy student will need 100 hours in each of the following areas:

Anatomy
Physiology
Hygiene and Practical demonstration
Hydrotherapy
Pathology
Massage
Health service management",yes,NA,yes,yes,yes,110,NA,NA,NA,NA,NA,NA,NA,NA,yes,160,28.671875,45500,192748.9524,59566,1929268,4.7,86.4,3.1,1,2.4,0.1,11.1,498,10.79794177,22459.71888,521,17.69959677,36815.16129,237,29.36046512,61069.76744,186,11.44767442,23811.16279,731,15.99555404,33270.75239,448,15.05145089,31307.01786,125,16.66,34652.8,747,17.72223561,36862.25007,573,25.7027027,53461.62162,619,25.5000095,53040.01975,122,33.57743663,69841.06818,813,51.89274908,95854.0931,183,20.09899329,53356.09756,80,14.6875,30550,303,44,91520,65,18,37440,80,28.18375,58622.2,589,32.7286927,149644.6618,144,60.32110092,125467.8899,70,62.5,130000,714,329,606,611,532,510,529,1820,319,198,1099.19171,1460.4,1248.642487
NV,Nevada,NA,yes,NA,yes,yes,yes,yes,"550; One hundred twenty-five (125) hours of instruction in the body’s systems, including, without limitation, anatomy, physiology and kinesiology;
Two hundred twenty (220) hours of instruction which is taken in a classroom setting with hands-on instruction in assessment, theory and application instruction, which must include not less than 80 hours in clinical instruction;
Forty (40) hours of instruction in pathology;
Twenty (20) hours of instruction in business;
Twenty (20) hours of instruction in ethics; and
One hundred twenty-five hours (125) of instruction in other courses of massage therapy in a classroom setting with hands-on instruction.",yes,NA,yes,yes,yes,185,295,NA,NA,NA,NA,NA,NA,NA,yes,713,70.4945582,85635.34362,264014.6923,58646,3034392,9.2,63.4,5.1,1.5,8.2,0.6,29,749,14.07459947,29275.16689,721,14.38588766,29922.64632,570,46.61491228,96959.01754,644,16.0613354,33407.57764,767,15.89080834,33052.88136,667,14.70505997,30586.52474,410,17.15243902,35677.07317,767,18.35032595,38168.67797,701,19.56348074,40692.03994,731,26.78194386,55706.44323,177,33.65384615,70000,826,40.54358354,106707.3354,576,17.70681424,87334.98211,409,44,91520,662,55,114400,641,39.82293292,82831.70047,376,27.76595745,57753.19149,758,29.61873351,168100.6913,153,62.5,130000,63,62.5,130000,1468,698,1514,1392,1429,1426,1476,1980,1141,665,1299.532725,1945.160839,1576.716134
NH,New Hampshire,NA,NA,NA,NA,NA,NA,NA,750;,yes,NA,yes,yes,yes,110,NA,NA,1,NA,NA,NA,NA,NA,yes,458,25.24781341,51085.01104,227562.85,74991,1356458,1.7,92.4,2.2,0.3,2.7,0,3.9,696,11.54543822,24014.51149,704,11.90136571,24754.84067,399,29.08054711,60487.53799,538,16.07684426,33439.83607,780,16.08448718,33455.73333,639,15.87402191,33017.96557,217,16.26958525,33840.73733,782,18.85769821,39224.01228,617,21.56188605,44848.72299,755,23.48264777,48843.90735,413,45.21448361,94046.12591,828,33.34182971,85161.59118,411,16.62311558,72534.97922,109,14,29120,688,48.22115385,100300,374,22.09872611,45965.35032,154,30.6599026,63772.5974,722,34.7241205,142127.5852,115,62.5,130000,194,62.5,130000,1043,405,1219,923,992,1116,932,1402,534,43,1882.128205,2598.692308,2105.089744
NJ,New Jersey,"yes by Endorsement
A massage therapist can also be licensed on the basis of current credentialing in another U.S. state; the other state must have educational requirements that are at least substantially similar to those of New Jersey. A candidate for license by endorsement will need to request credential verification from each U.S. jurisdiction where he or she has ever held licensure or certification.",yes,NA,yes,yes,yes,yes,"500; 90 hours of anatomy, physiology, pathophysiology
ethics and law;
theory and practice;
electives related to the practice of massage and bodywork therapy;
and at least 100 hours of clinical practice under the supervision of a faculty member legally authorized to practice in the State in which the school exists. ",yes,NA,yes,yes,yes,120,NA,NA,1,NA,NA,NA,NA,yes,"yes; The course of study must be taken in a school accredited or approved by:

??the New Jersey Department of Education;
the New Jersey Department Labor and Workforce Development;
the New Jersey Commission on Higher Education;
or an agency of another state which substantially meets the requirements of the New Jersey Department of Education,
the New Jersey Department of Labor and Workforce Development; or
the New Jersey Commission on Higher Education.",783,55.25606641,61327.10089,259979.7857,81740,8908520,13.6,66.9,2.8,0.2,9.7,0,20.6,735,13.18707483,27429.11565,789,17.29230038,35967.98479,753,66.67662683,138687.3838,715,19.25594406,40052.36364,812,16.28137315,33865.25616,650,14.73738462,30653.76,684,23.10307018,48054.38596,800,20.86735625,43404.101,739,48.41035183,100693.5318,795,28.29462143,58852.81258,704,72.89219569,151615.767,823,49.85844471,89810.70899,736,21.24524457,100145.4552,671,34.65126677,72074.63487,792,51.06628788,106217.8788,770,84.86363636,176516.3636,451,26.81838565,55782.24215,787,23.11224269,95376.98221,586,55.02139037,114444.492,568,52.88888889,110008.8889,1560,1411,1505,1502,1501,1504,1524,1514,1342,224,2799.722222,3913.609091,3034.842593
NM,New Mexico,"Yes; License by Credentials or endorsement
Massage therapists may be licensed by credential if they have met similar education and examination requirements in other jurisdictions; the requirements must be judged to be at least substantially equivalent to those of New Mexico (rld.state.nm.us / Massage Therapy Requirements and Continuing Education). ",yes,NA,yes,yes,NA,NA,"650; 165 hours of coursework in anatomy and physiology and other closely related disciplines. At least 40 of the required hours in this content strand are to be in pathology. Kinesiology is also to receive coverage.

At least 150 hours are to consist of massage therapy training; this is to include coverage of contraindications.

At least 75 hours are to be in content areas that the Board terms ""general instruction"". No fewer than 30 of the general instruction hours are to be in professional ethics. Also included in this content area are 1) first aid and 2) CPR/AED; the prospective massage therapist will need four hours in each. Hydrotherapy and business are both to receive coverage.

Electives may be in any of the following: theory, hands-on modalities related to massage therapy, breathing and stretching, nutrition, herbology, homeopathy, and counseling. The student may also credit additional hours of anatomy and physiology or massage therapy. Up to 150 hours of practicum may be credited. Other elective topics may be credited, but will need Board approval.

Up to 150 hours of credit may be awarded for prior professional experience carried out under licensure or registration.",yes,NA,yes,yes,yes,75,125,NA,1,NA,NA,NA,2 years,NA,yes,150,27.05769231,45685.43478,180789.5641,47169,2095428,2.2,76.4,3.2,9.6,1.6,0.1,49.1,589,11.89313063,24737.71171,600,11.65425532,24240.85106,135,19.33333333,40213.33333,100,13.76315789,28627.36842,517,14.27079304,29683.24952,493,12.97165984,26981.05246,110,14.11363636,29356.36364,713,17.012223,35385.42384,533,20.69741697,43050.62731,647,27.82348264,57872.84389,302,45.95747539,95591.54882,783,38.10977011,89638.92018,271,22.04875,78231.27593,107,NA,NA,418,45.28013029,94182.67101,90,14,29120,122,27.27868852,56739.67213,707,31.65487977,157393.475,164,62.5,130000,103,62.5,130000,767,305,850,739,640,697,648,1119,188,254,1060.656,1461.508772,1189.842
NY,New York,NA,NA,NA,NA,NA,NA,NA,"1000; 150 in clinic, rest as: Complete coursework in anatomy, physiology, neurology, myology or kinesiology, pathology, hygiene, first aid, CPR, infection control procedures, the chemical ingredients of products that are used and their effects, as well as the theory, technique and practice of both oriental and western massage/bodywork therapy.","yes; NY state exam too, semiannual dates jan 3noth and aug 27th, with applications due by Nov yesst and June yesst for respective exam dates",NA,yes,yes,yes,108; 35 for limited permit if cannot take NY exam within 1 year,NA,NA,1,NA,NA,NA,NA,NA,yes,595,55.42592593,66536.08247,637718.6485,67844,19542209,15.7,63.3,3.3,0.4,8.5,0,19.2,713,14.27685835,29695.86536,773,15.23580207,31690.46831,468,38.48107256,80040.63091,641,20.4773791,42592.94852,796,20.38225503,42395.09045,733,18.2673397,37996.06658,422,22.22748815,46233.17536,776,20.12164948,41853.03093,702,46.49569088,96711.03704,783,26.94397933,56043.47701,525,63.65384615,132400,815,45.963,94254.46626,706,19.77464589,72670.69405,328,42.43867925,88272.45283,751,44.11651132,91762.34354,559,68.55898876,142602.6966,284,26.02867384,54139.64158,770,97.87155844,132144.3857,321,52.79370629,109810.9091,302,55.9370229,116349.0076,1524,775,1507,1476,1501,1501,1481,1509,1075,268,3132.623077,3651.263804,3475.359615
NC,North Carolina,"Yes by endorsement; Massage therapists seeking a license to practice in North Carolina may apply for a regular license process or through the licensure by endorsement process. The requirements are almost identical, as you can see in the application instructions and checklist.  See https://www.bmbt.org/mtpages/license_by_endorsement.html",yes,NA,NA,NA,NA,NA,"500; The program must be at least 24 weeks in length. The curriculum must contain the following content at a minimum:

200 hours in fundamental theory and practice of massage and bodywork therapy. At least 100 hours of this must be in the application of hands-on methods. Also included in this 200-hour requirement is client assessment skills, indications and contraindications of treatment, body mechanics, draping procedures, infection control, and history of massage and bodywork.
100 hours of anatomy and physiology related to the practice of massage therapy, including instruction of common pathologies
15 hours of professional ethics and North Carolina laws and rules for the practice of massage and bodywork therapy
15 hours of business management practices
20 hours of psychological concepts including therapeutic relationships, and professional communication skills
150 hours in other related courses such as adjunct modalities, specific applications, additional hands-on techniques, or in-depth study of anatomy and physiology.
An official massage therapy school transcript must be submitted direct",yes,NA,yes,yes,yes,20,150,100,NA,NA,NA,24 CEU credit hours. This includes a minimum of 3 hours of ethics. A maximum of 6 hours of distance learning and 8 hours of business management can be taken. ,2 years; every Dec 31st,NA,yes,627,41.96411483,78046.4527,166565.931,53855,10383620,21.4,68.4,2.9,1.2,3,0.1,9.6,712,11.07082163,23027.30899,760,14.85641447,30901.34211,521,24.83695652,51660.86957,677,13.78360414,28669.8966,761,15.98633377,33251.57424,737,30.80427408,64072.89009,475,18.34736842,38162.52632,766,17.95218668,37340.5483,662,22.0902568,45947.73414,799,21.43598375,44586.84621,588,43.28067766,90023.80952,807,42.88320942,79943.37608,544,15.13411765,63021.66544,387,25.17829457,52370.85271,713,35.5,73840,587,35.84327087,74554.00341,191,26.05725131,54199.08272,749,28.47576769,116568.6996,345,58.7037037,122103.7037,321,58.73322148,122165.1007,1449,486,1507,1282,1439,1394,1462,1522,744,754,1231.369624,1819.027068,1480.351478
ND,North Dakota,Yes by endorsement,yes,NA,yes,yes,yes,NA,"750; 505 supervised, 245 unsupervised; the 505 supervised: anatomy/physiology/kinesiology 150, pathology 40, clinic 175, massage theory 130, CPR/first aid 10, the 245 unsupervised: business 50, clinical 75, other massage modality courses 120",Yes; and a state jurisprudence exam,NA,yes,yes,yes,150,NA,200,1,NA,NA,"24 hours; every 2 years, with 10 online at most and the 14 remaining in class",2,NA,yes,60,24,45569,160193.5,63837,760077,3.4,85.7,2.3,5.4,1.8,0,3.6,485,11.69856322,24333.01149,483,12.55184332,26107.8341,75,NA,NA,323,12.91869919,26870.89431,584,16.91738014,35188.15068,562,15.07268683,31351.18861,45,11,22880,687,20.22525473,42068.52984,505,18,37440,584,26.59282329,55313.07243,86,33.65384615,70000,811,38.75582614,98751.07621,83,17.5,68103.53012,49,62.5,130000,250,44.38968504,92330.54488,70,18.5,38480,60,28.125,58500,591,36.46698816,186231.2943,34,49.3,102544,15,62.5,130000,832,259,687,369,315,369,321,1013,136,178,999.8284024,1211.553398,1078.37574
OH,Ohio,"Yes by endorsement, if out of state licensed for last five years    https://med.ohio.gov/Apply/Massage-Therapist-MT",yes,NA,NA,NA,NA,NA,750;,yes,NA,yes,yes,yes,153.5,NA,100,NA,NA,NA,no,2,NA,yes,575,43.25913043,44948.77506,102083.288,56111,11689442,12.4,81,3.1,0.2,2.3,0,3.9,715,11.47916084,23876.65455,716,22.55499302,46914.38547,491,29.09447983,60516.51805,558,14.73960217,30658.37251,779,16.79580873,34935.28216,776,13.66739691,28428.18557,280,16.125,33540,779,17.7550706,36930.54685,688,19.49193314,40543.22093,791,21.14920986,43990.35651,399,37.73014266,78478.69674,817,30.61875765,85240.61012,510,16.23627451,59661.44,355,22.98159509,47801.71779,693,40.12988281,83470.15625,492,20.3526971,42333.60996,175,30.09677419,62601.29032,699,104.944206,169884.2167,261,47.93457944,99703.92523,289,37.0310219,77024.52555,1559,495,1507,1341,1452,1476,1422,1532,1083,402,1361.40458,1898.048338,1587.052163
OK,Oklahoma,Yes by endorsement; 65 fee instead of 50 and proof of all other licenses in each state holding or had a massage therapy license ,yes,NA,NA,yes,yes,NA,500;,yes,NA,yes,yes,yes,NA,50; 65 for license by reciprocity,50,NA,NA,NA,16,2,yes,NA,348,39.78304598,45000,109105.3529,51924,3943079,7.3,72.2,7.7,7.8,2.1,0.1,10.9,616,9.736201299,20251.2987,666,14.15284733,29437.92244,339,19.25167224,40043.47826,275,13.71818182,28533.81818,687,14.58560408,30338.05648,714,19.3697479,40289.07563,275,13.1509434,27353.96226,737,18.3022863,38068.7555,564,27.48538302,57169.59669,673,18.48044316,38439.32178,236,33.65384615,70000,828,37.57004831,74226.6715,458,14.6875,49121.13024,251,19.65879828,40890.30043,621,44.94567404,93487.00201,275,43.94736842,91410.52632,184,27.5951087,57397.82609,715,21.8453007,139626.8986,341,59.66014235,124093.0961,301,53.00343643,110247.1478,1195,464,1139,1058,1120,1076,1119,1400,793,363,922.8904494,1214.348432,1034.464888
OR,Oregon,"Yes by endorsement, but $250 to review transcripts and had to be licensed out of state; The credentialing review and its additional $250 fee is only pertinent to those out of state applicants who have been legally practicing for many years and may not meet the traditional education requirement through certified class instruction. 

Upon completion of a credentialing review the Board may grant a license to applicants who are or have legally practiced massage and/or bodywork outside of the State of Oregon; after successful completion of the jurisprudence, and written examinations.
 
Official Transcripts or Certificates of Completion and Practical Work Experience must be documented on the Credentialing Review Application Addendum and Work Experience Verification Worksheet.
 
The applicant must provide transcripts for: 
200 Anatomy and Physiology, Pathology and Kinesiology hours /8 quarter credits/5.34 semester credits of this with 120 hours/4.8 quarter credits/3.2 semester credits minimum must be from certified class instruction with up to 80 contact hours of prior continuing education in subject areas may apply; and
300 hours/12 quarter credits/8 semester credits Massage Theory and Practical Application, Clinical Practice, Business Development, Sanitation, Communication and Ethics hours of this 140 hours/5.6 quarter credits/3.7 semester credits minimum must be from certified class instruction with up to 120 contact hours of prior continuing education in subject areas, up to 40 hours of practical work experience may apply, and;
125 hours/5 quarter credits/2.4 semester credits which may be in either Health Sciences, Massage or Bodywork Theory and practical application, Clinical Practice, Business Development, Communication, Ethics, Sanitation or Hydrotherapy. Of the 125 hours required, up to 75 contact hours of prior continuing education in subject areas may apply.
??",yes,NA,yes,yes,yes,NA,"625; The Board requires 625 hours/25 quarter credits/15.74 semester credits of education from an accredited or Department of Education approved school with the following:
The 625 hours/25 quarter credits/15.74 semester credits of education must include: 
A minimum of 200 hours/8 quarter credits/ 5.34 semester credits of health sciences, consisting of Anatomy and Physiology, Pathology, and Kinesiology; and 
A minimum of 300 hours/12 quarter credits/8 semester credits of Massage Theory and Practical Application, Clinical Practice, Business Development, Sanitation, Communication, and Ethics. 
The remaining 125 hours/5 quarter credits /2.4 semester credits required may be in any of the above subject areas",Yes; and a state jurisprudence exam,NA,4yes.5,yes,yes,100,100 - 200,"2 years, expires the day before the month of birthday, even year births renew on even years and odd on odd years; The Initial License Fee is based upon renewal date, which is based upon applicant birth month/year. Individuals born in odd numbered years will renew every odd numbered year, regardless of when their initial license was issued. Those born during an even year will renew every even year. Additionally, licensees must renew before the first day of their birth month. If an applicant’s first renewal is less than 12 months from time of issuance, the Initial License Fee is $100.00. If the applicant’s first renewal is more than 12 months from date of issuance, the Initial License Fee is $200.00.",1,NA,3 moral character references,NA,NA,yes,yes,468,37.07051282,68436.13707,364129.8103,63426,4190713,2,83.9,4.7,1.2,4.6,0.4,13.3,705,14.27871631,29699.72993,702,15.39565527,32022.96296,396,31.98737374,66533.73737,421,17.36638955,36122.09026,763,19.69188729,40959.12556,747,17.78129183,36985.08701,245,19.62244898,40814.69388,786,20.58174936,42810.03868,529,24.03842045,49999.91455,694,27.320848,56827.36383,295,33.65384615,70000,817,62.23650551,91822.87699,485,18.8185567,49555.59155,456,32.10878538,66786.27358,604,47.19066132,98156.57555,347,89.77675841,186735.6575,281,26.54626335,55216.22776,748,25.83270053,204506.5074,322,62.5,130000,264,62.5,130000,1433,805,1492,1010,1138,1412,1217,1506,804,341,1725.582583,2375.034965,1996.717718
